,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,rt_Entire_home/apt,rt_Private room,rt_Shared room,contact_me,past_booker
195,5.0,17,157.0,0.0,55,6,90.31666666666666,0,1,0,0,1,0
196,1.0,11,405.0,10.0,181,7,29.95,0,1,0,0,0,1
198,4.0,2,186.0,0.0,109,4,795.9333333333333,0,1,0,0,1,0
199,1.0,9,44.0,1.0,0,4,826.0666666666667,0,0,1,0,1,0
200,6.0,2,146.0,0.0,30,5,102.63333333333334,0,1,0,0,1,0
203,6.0,4,134.0,1.0,39,15,8.6,1,1,0,0,1,0
204,1.0,3,158.0,2.0,6,92,573.2333333333332,0,1,0,0,1,1
208,2.0,4,750.0,10.0,15,5,4.066666666666666,1,1,0,0,0,0
209,4.0,3,61.0,0.0,22,4,283.71666666666664,0,1,0,0,1,0
210,10.0,6,80.0,5.0,41,4,47.01666666666666,1,1,0,0,0,0
212,4.0,25,999.0,1.0,100,21,36.56666666666667,1,1,0,0,1,1
213,2.0,8,254.0,20.0,20,7,100.9,1,1,0,0,0,1
214,5.0,3,138.0,0.0,48,4,891.8,0,1,0,0,1,0
216,3.0,9,94.0,0.0,17,2,6.15,0,0,0,1,1,0
217,2.0,12,702.0,3.0,28,6,2.833333333333333,0,1,0,0,1,1
219,3.0,3,0.0,2.0,31,3,1682.8833333333334,0,1,0,0,0,1
220,2.0,8,90.0,5.0,93,8,315.8333333333333,0,1,0,0,1,0
222,4.0,2,163.0,1.0,24,4,1.9333333333333336,0,0,1,0,1,0
228,2.0,55,73.0,1.0,20,5,18.183333333333334,1,1,0,0,0,0
229,1.0,4,42.0,0.0,29,6,8.616666666666667,0,0,0,1,1,0
231,4.0,4,194.0,0.0,153,1,6.7666666666666675,1,1,0,0,1,0
240,2.0,2,154.0,12.0,221,2,36.31666666666667,0,1,0,0,1,0
243,1.0,5,47.0,0.0,67,10,6.15,0,1,0,0,1,1
244,2.0,5,153.0,0.0,166,9,77.95,1,1,0,0,0,1
245,3.0,4,256.0,0.0,155,31,2494.0666666666666,0,1,0,0,0,0
247,2.0,8,135.0,45.0,62,3,105.08333333333331,1,1,0,0,0,0
248,4.0,3,315.0,0.0,1,2,1027.8333333333335,0,1,0,0,0,0
249,2.0,2,181.0,9.0,107,6,290.2,0,1,0,0,1,0
251,1.0,4,65.0,0.0,201,4,40.43333333333333,0,0,1,0,1,0
253,1.0,2,536.0,1.0,1,3,2797.55,0,0,1,0,0,0
255,2.0,13,245.0,0.0,66,10,930.5166666666668,1,0,1,0,0,1
258,2.0,5,547.0,0.0,89,11,711.2166666666667,0,0,1,0,1,0
260,2.0,3,376.0,42.0,29,3,8.933333333333334,0,1,0,0,1,1
261,4.0,5,364.0,2.0,70,105,222.2,1,1,0,0,1,0
265,4.0,39,271.0,15.0,120,6,33.01666666666667,1,1,0,0,1,0
267,3.0,4,168.0,0.0,30,5,179.28333333333333,0,1,0,0,1,0
268,4.0,20,11.0,0.0,162,5,182.95,1,1,0,0,0,0
271,3.0,2,83.0,0.0,122,4,237.28333333333333,0,1,0,0,1,1
272,2.0,7,704.0,10.0,12,11,8.866666666666667,1,1,0,0,0,1
273,1.0,4,150.0,0.0,16,3,79.45,0,0,1,0,0,0
275,1.0,2,361.0,0.0,6,3,450.05,0,1,0,0,1,0
276,5.0,3,564.0,20.0,247,6,0.0,0,1,0,0,1,0
277,6.0,3,142.0,0.0,34,4,75.91666666666667,0,1,0,0,1,0
278,5.0,4,0.0,1.0,102,12,404.2,0,1,0,0,0,1
279,1.0,4,260.0,0.0,18,28,609.2833333333333,0,1,0,0,0,1
280,3.0,7,114.0,0.0,26,11,592.1,1,1,0,0,1,1
281,4.0,9,231.0,0.0,66,8,313.06666666666666,1,1,0,0,1,0
282,2.0,2,195.0,1.0,39,30,167.1,0,1,0,0,1,0
285,2.0,8,202.0,0.0,11,5,0.0,0,0,1,0,1,1
289,4.0,2,18.0,0.0,200,22,3.75,0,1,0,0,1,1
290,2.0,15,165.0,7.0,94,3,12.733333333333333,0,1,0,0,0,0
292,3.0,3,0.0,3.0,97,11,688.7333333333332,0,1,0,0,0,0
293,4.0,3,0.0,5.0,137,4,725.4833333333332,0,1,0,0,0,1
295,1.0,4,44.0,0.0,168,30,69.95,1,1,0,0,1,0
296,1.0,5,333.0,8.0,69,4,6.35,1,1,0,0,1,0
299,6.0,4,146.0,0.0,149,6,240.66666666666663,0,1,0,0,1,1
303,2.0,4,219.0,0.0,57,13,158.5,0,1,0,0,1,0
304,2.0,2,102.0,1.0,31,3,21.48333333333333,0,1,0,0,0,0
305,2.0,2,285.0,32.0,9,3,10.633333333333333,0,0,1,0,1,0
306,5.0,4,247.0,3.0,80,15,568.4166666666666,0,1,0,0,1,0
307,4.0,2,24.0,0.0,72,7,1204.6666666666667,0,1,0,0,0,1
309,2.0,2,0.0,0.0,182,4,792.2666666666668,0,1,0,0,0,1
313,2.0,2,255.0,0.0,0,3,1097.9333333333334,0,1,0,0,1,0
314,4.0,2,63.0,0.0,126,19,346.3,0,1,0,0,0,0
316,4.0,2,453.0,1.0,183,6,216.13333333333333,0,1,0,0,1,1
318,3.0,5,138.0,1.0,55,1,2213.433333333333,0,1,0,0,0,1
322,10.0,2,96.0,7.0,125,2,1351.9333333333334,0,1,0,0,1,0
323,4.0,5,40.0,0.0,16,2,786.6333333333333,0,1,0,0,0,1
324,3.0,6,352.0,0.0,38,23,62.48333333333334,1,1,0,0,1,0
326,1.0,4,258.0,20.0,5,7,113.56666666666666,1,1,0,0,1,0
328,4.0,2,167.0,0.0,57,1,161.2,0,1,0,0,1,0
329,4.0,5,249.0,5.0,68,2,761.35,1,1,0,0,1,0
330,4.0,21,87.0,0.0,29,9,0.7,0,1,0,0,0,0
331,5.0,3,141.0,0.0,68,7,1427.55,0,1,0,0,1,0
333,5.0,2,205.0,1.0,24,6,817.5833333333335,0,1,0,0,0,0
334,3.0,2,229.0,1.0,59,3,1485.8666666666666,0,0,0,1,1,0
335,5.0,6,405.0,1.0,18,1,134.86666666666667,0,1,0,0,0,0
336,1.0,8,82.0,1.0,99,11,18.58333333333333,1,0,1,0,1,0
341,6.0,50,277.0,0.0,66,8,518.1500000000002,1,1,0,0,1,1
342,3.0,33,103.0,0.0,152,5,564.0,1,1,0,0,0,1
343,1.0,3,49.0,0.0,120,3,63.3,0,1,0,0,0,0
344,4.0,2,225.0,0.0,26,3,533.1500000000002,0,1,0,0,1,1
346,3.0,6,166.0,67.0,118,5,231.28333333333333,1,1,0,0,0,1
347,2.0,4,213.0,3.0,176,5,17.55,0,1,0,0,1,1
351,4.0,12,0.0,26.0,139,2,44.68333333333333,1,1,0,0,0,0
352,2.0,3,211.0,0.0,209,7,109.93333333333334,0,1,0,0,0,1
353,2.0,23,229.0,56.0,56,3,163.6,1,1,0,0,0,1
354,2.0,4,206.0,2.0,26,3,1392.2,0,1,0,0,0,0
356,2.0,6,0.0,4.0,24,30,1203.3833333333334,0,0,1,0,0,0
357,3.0,2,351.0,0.0,199,6,5.183333333333334,0,1,0,0,0,1
358,4.0,4,119.0,1.0,186,15,1385.4,0,1,0,0,1,0
361,2.0,56,178.0,0.0,0,152,0.9833333333333336,1,0,1,0,1,0
363,2.0,3,405.0,0.0,31,3,165.35,0,1,0,0,0,1
368,1.0,6,588.0,87.0,0,3,30.600000000000005,1,0,1,0,1,1
369,1.0,6,108.0,4.0,3,1,1424.55,1,0,1,0,0,1
370,1.0,4,86.0,2.0,85,10,89.0,0,1,0,0,1,1
372,2.0,3,139.0,27.0,29,5,586.5,1,1,0,0,1,0
374,4.0,25,321.0,1.0,109,10,32.46666666666667,1,1,0,0,1,0
375,2.0,3,112.0,9.0,22,2,582.2833333333333,1,0,1,0,1,0
376,1.0,3,28.0,0.0,176,21,15632.883333333335,1,1,0,0,1,1
377,1.0,7,193.0,15.0,9,29,14.95,1,1,0,0,1,0
380,6.0,2,325.0,0.0,9,2,909.1,0,1,0,0,1,0
381,3.0,6,669.0,3.0,193,19,67.95,0,1,0,0,1,0
382,2.0,17,112.0,22.0,4,4,10.133333333333333,1,1,0,0,1,0
384,2.0,7,0.0,11.0,7,2,133.28333333333336,1,1,0,0,0,1
385,2.0,3,484.0,35.0,171,5,546.2166666666667,0,1,0,0,1,0
386,4.0,2,159.0,5.0,200,7,1259.4666666666667,0,1,0,0,1,0
389,1.0,51,165.0,4.0,22,2,16.116666666666667,1,0,0,1,0,1
390,1.0,26,96.0,0.0,78,11,64.30000000000001,1,0,0,1,0,0
392,1.0,13,221.0,1.0,10,13,2.0500000000000003,0,0,1,0,1,0
393,6.0,4,163.0,0.0,104,9,22.93333333333333,0,1,0,0,1,1
394,1.0,4,172.0,0.0,179,29,1033.3333333333335,0,0,1,0,1,0
395,3.0,3,61.0,39.0,34,4,6.75,1,0,1,0,1,0
396,2.0,10,190.0,43.0,12,4,64.51666666666668,1,0,1,0,1,1
397,2.0,8,88.0,1.0,17,2,1151.9833333333333,0,1,0,0,0,1
398,3.0,3,220.0,5.0,388,7,0.8333333333333334,0,1,0,0,1,0
399,4.0,2,287.0,0.0,92,5,78.65,0,1,0,0,1,1
400,2.0,4,1032.0,0.0,134,8,2797.333333333333,0,1,0,0,1,0
403,4.0,23,54.0,6.0,2,4,0.18333333333333326,1,1,0,0,1,0
405,2.0,5,223.0,1.0,75,2,266.75000000000006,0,1,0,0,0,1
407,4.0,3,138.0,0.0,16,5,15.666666666666668,1,1,0,0,1,0
408,4.0,4,0.0,0.0,62,3,28.516666666666666,1,1,0,0,0,1
411,1.0,5,345.0,4.0,6,2,589.4166666666666,0,0,1,0,1,0
413,4.0,3,334.0,0.0,5,6,34.88333333333333,0,1,0,0,0,0
414,1.0,17,37.0,30.0,14,4,192.9833333333333,0,1,0,0,0,0
415,2.0,3,60.0,0.0,96,21,36.2,0,1,0,0,1,1
422,2.0,31,41.0,3.0,39,4,33.66666666666667,1,1,0,0,0,0
423,2.0,3,209.0,3.0,9,5,2108.4833333333336,0,1,0,0,1,1
424,8.0,2,166.0,1.0,269,5,48.95,0,1,0,0,1,0
425,4.0,2,284.0,1.0,184,10,2587.85,0,1,0,0,1,0
426,2.0,3,14.0,6.0,34,13,9.533333333333333,0,0,1,0,0,0
427,6.0,3,142.0,1.0,181,2,1286.3,0,1,0,0,1,0
429,2.0,7,27.0,19.0,0,5,67.43333333333334,1,1,0,0,0,1
430,1.0,6,37.0,1.0,81,7,202.9,0,1,0,0,1,1
432,3.0,8,286.0,0.0,43,3,33.41666666666667,1,0,1,0,0,0
433,8.0,6,164.0,0.0,189,16,7.800000000000002,1,1,0,0,1,1
436,3.0,68,47.0,1.0,2,4,9.8,0,0,1,0,1,0
437,2.0,3,72.0,113.0,3,3,174.01666666666668,1,1,0,0,1,1
438,3.0,2,324.0,0.0,96,15,1163.8166666666666,0,1,0,0,1,1
439,4.0,10,0.0,13.0,9,5,86.35,1,1,0,0,0,0
442,3.0,3,128.0,16.0,78,22,1463.25,0,1,0,0,1,0
444,2.0,12,180.0,44.0,45,4,171.2,1,1,0,0,0,0
445,1.0,14,38.0,96.0,5,4,48.1,1,1,0,0,0,1
447,1.0,7,83.0,0.0,69,10,353.1,1,1,0,0,1,1
448,2.0,3,224.0,10.0,5,4,277.51666666666665,1,0,1,0,0,1
452,2.0,4,199.0,0.0,82,6,221.1833333333333,0,1,0,0,1,0
455,1.0,2,128.0,0.0,20,5,56.1,0,1,0,0,1,0
456,2.0,4,303.0,7.0,5,5,11290.25,0,0,1,0,0,0
459,1.0,13,541.0,5.0,85,15,1071.2166666666667,0,0,1,0,1,1
461,2.0,5,502.0,0.0,7,2,17.15,0,1,0,0,1,1
463,1.0,41,211.0,26.0,33,3,385.63333333333327,1,1,0,0,1,1
464,4.0,3,6.0,1.0,136,16,1102.0666666666666,0,1,0,0,0,1
466,4.0,2,337.0,1.0,216,5,863.8,0,1,0,0,1,0
467,3.0,14,358.0,5.0,59,3,28.266666666666666,1,1,0,0,0,1
468,1.0,20,335.0,4.0,125,5,246.01666666666668,1,0,1,0,0,1
471,6.0,36,101.0,0.0,105,4,18.766666666666666,1,1,0,0,1,0
475,1.0,3,128.0,0.0,0,4,1.65,0,1,0,0,1,1
476,2.0,2,208.0,130.0,27,6,2.433333333333333,0,0,1,0,1,1
477,4.0,2,124.0,6.0,196,2,38.88333333333333,0,1,0,0,1,0
478,1.0,4,444.0,111.0,68,5,309.05,0,0,1,0,1,1
480,5.0,4,331.0,0.0,17,119,26.8,0,1,0,0,1,0
481,2.0,3,130.0,5.0,54,30,5.716666666666668,0,1,0,0,1,1
483,2.0,2,222.0,2.0,29,5,288.68333333333334,0,1,0,0,1,0
485,3.0,14,225.0,1.0,9,5,26.91666666666667,1,1,0,0,1,0
487,4.0,3,57.0,0.0,179,11,188.13333333333333,0,1,0,0,1,0
489,8.0,3,168.0,0.0,256,11,5861.966666666666,0,1,0,0,1,0
491,8.0,2,194.0,0.0,29,7,3.9666666666666672,0,1,0,0,1,0
494,1.0,7,68.0,2.0,68,6,7.533333333333332,1,1,0,0,0,0
495,1.0,20,8.0,0.0,116,16,1565.6333333333334,0,0,1,0,0,0
496,6.0,10,261.0,38.0,168,4,83.8,1,1,0,0,1,0
497,3.0,6,40.0,0.0,28,5,313.1333333333333,0,1,0,0,1,0
498,4.0,2,124.0,2.0,166,2,5.3,0,1,0,0,1,1
502,5.0,5,87.0,0.0,24,5,1256.8166666666666,0,1,0,0,1,0
503,1.0,4,191.0,1.0,68,13,3970.800000000001,0,0,1,0,1,1
505,2.0,3,572.0,0.0,170,5,0.0,0,1,0,0,0,0
506,2.0,11,116.0,11.0,147,5,2.6166666666666667,1,0,1,0,1,0
507,1.0,3,122.0,0.0,132,16,12.766666666666667,0,1,0,0,1,1
511,4.0,5,84.0,6.0,221,7,994.8666666666667,0,1,0,0,1,0
512,2.0,2,253.0,1.0,206,7,3211.0333333333333,0,1,0,0,1,1
515,2.0,3,171.0,0.0,160,11,671.45,0,1,0,0,0,0
516,3.0,29,290.0,84.0,208,6,7.6,1,1,0,0,0,1
517,2.0,2,179.0,14.0,201,5,92.25,0,1,0,0,0,1
520,2.0,23,0.0,5.0,9,5,29.816666666666666,1,1,0,0,0,1
521,2.0,2,88.0,0.0,15,5,5925.966666666666,0,1,0,0,1,1
523,5.0,31,0.0,4.0,36,1,969.9166666666665,1,1,0,0,0,1
526,5.0,2,0.0,1.0,41,4,674.7166666666667,0,1,0,0,0,1
527,2.0,3,90.0,0.0,55,7,210.58333333333331,0,1,0,0,0,1
528,2.0,2,112.0,4.0,48,3,4.383333333333334,0,1,0,0,1,0
529,2.0,3,87.0,17.0,43,3,77.21666666666667,1,0,1,0,1,0
530,2.0,11,85.0,5.0,6,1,12.616666666666667,1,0,1,0,1,0
531,1.0,21,154.0,34.0,4,4,143.58333333333334,1,1,0,0,0,1
532,5.0,13,358.0,19.0,110,4,855.9833333333332,1,1,0,0,0,0
533,1.0,3,345.0,1.0,16,3,472.86666666666673,1,0,1,0,1,0
534,2.0,5,337.0,0.0,203,3,36.516666666666666,0,1,0,0,1,0
536,2.0,2,212.0,2.0,137,4,2.433333333333333,0,1,0,0,1,0
545,2.0,7,792.0,2.0,18,8,142.11666666666667,1,1,0,0,1,1
547,3.0,2,121.0,1.0,24,5,474.9,0,1,0,0,1,1
548,3.0,3,268.0,7.0,89,2,483.25,0,1,0,0,1,0
549,2.0,3,444.0,1.0,69,7,455.13333333333327,1,1,0,0,1,0
550,2.0,2,122.0,0.0,18,17,1.9833333333333336,0,0,0,1,0,0
551,2.0,3,273.0,0.0,11,28,1.4,0,1,0,0,1,0
554,2.0,3,34.0,0.0,27,5,78.15,0,1,0,0,0,0
557,1.0,38,94.0,0.0,76,10,414.98333333333335,0,0,1,0,0,1
559,7.0,3,188.0,17.0,209,8,48.76666666666666,0,1,0,0,1,0
561,4.0,12,170.0,0.0,28,5,80.1,0,1,0,0,1,0
562,8.0,5,303.0,0.0,24,5,344.76666666666665,0,1,0,0,1,0
563,2.0,5,41.0,3.0,4,7,18.066666666666666,1,1,0,0,1,1
564,2.0,7,170.0,0.0,15,2,0.4666666666666667,0,1,0,0,1,1
570,2.0,2,79.0,3.0,33,8,6683.016666666666,0,1,0,0,1,0
572,4.0,3,99.0,0.0,198,2,1040.3333333333335,0,0,1,0,1,1
573,2.0,4,16.0,1.0,2,3,7.883333333333335,0,1,0,0,0,0
575,2.0,2,408.0,0.0,65,9,169.05,0,0,1,0,1,1
576,2.0,9,245.0,4.0,74,4,1117.2166666666667,1,0,0,1,1,0
577,6.0,3,267.0,0.0,154,2,18.466666666666665,0,1,0,0,1,1
582,2.0,3,274.0,0.0,104,9,254.2,0,1,0,0,1,0
587,2.0,2,175.0,0.0,40,5,2508.733333333333,0,0,1,0,1,1
588,4.0,3,41.0,1.0,25,3,389.35,0,1,0,0,1,0
590,10.0,3,388.0,34.0,63,2,369.1,0,1,0,0,0,0
591,3.0,3,130.0,0.0,10,1,0.0,0,1,0,0,1,1
594,2.0,5,249.0,0.0,96,4,205.36666666666667,0,0,1,0,0,1
597,3.0,6,407.0,0.0,114,14,265.35,0,1,0,0,1,0
600,1.0,7,237.0,6.0,48,11,37.266666666666666,1,0,1,0,1,0
602,4.0,9,270.0,2.0,13,5,66.03333333333335,1,1,0,0,1,0
605,2.0,3,76.0,49.0,2,3,7.55,1,1,0,0,1,0
609,6.0,2,67.0,0.0,0,8,245.43333333333337,0,1,0,0,1,0
611,2.0,6,67.0,1.0,65,10,115.65,1,1,0,0,1,0
614,2.0,17,960.0,72.0,29,3,699.7,1,1,0,0,0,0
615,3.0,3,189.0,0.0,186,4,986.55,0,1,0,0,1,0
617,1.0,6,219.0,1.0,144,13,4526.15,0,0,1,0,1,0
619,2.0,3,633.0,19.0,25,4,316.4,0,0,1,0,0,1
620,3.0,7,149.0,12.0,20,8,14.183333333333335,0,1,0,0,0,0
621,3.0,4,443.0,6.0,54,34,62.53333333333334,1,1,0,0,1,1
622,1.0,2,119.0,1.0,60,4,96.75,0,0,0,1,1,0
625,1.0,20,54.0,51.0,4,1,12.966666666666667,1,1,0,0,1,1
626,6.0,3,104.0,1.0,86,6,105.88333333333334,0,1,0,0,1,1
629,6.0,8,0.0,0.0,154,13,182.33333333333331,0,0,1,0,0,0
630,1.0,3,264.0,10.0,17,6,220.46666666666667,1,1,0,0,1,1
631,1.0,6,39.0,0.0,193,5,96.53333333333332,1,1,0,0,1,0
632,3.0,3,68.0,0.0,28,5,2653.483333333333,1,1,0,0,1,1
634,2.0,5,140.0,15.0,165,4,10.233333333333333,1,1,0,0,1,0
635,2.0,2,219.0,0.0,137,7,1457.15,0,1,0,0,1,0
639,5.0,15,403.0,2.0,29,3,293.1333333333333,1,1,0,0,0,1
640,2.0,17,361.0,0.0,93,11,33.56666666666667,0,1,0,0,1,0
