,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,accept_t,booked,past_booker
79,4.0,3,138.0,0.0,16,5,2014.333333333333,0,0
80,5.0,5,133.0,39.0,91,4,0.0,0,1
81,8.0,6,164.0,0.0,189,16,0.4666666666666667,0,1
82,3.0,4,104.0,34.0,40,9,0.0,0,0
83,2.0,3,72.0,113.0,3,3,0.016666666666666666,0,1
84,2.0,7,72.0,1.0,16,14,0.0,0,0
85,6.0,7,67.0,0.0,152,4,0.0,0,0
86,1.0,7,83.0,0.0,69,10,977.3666666666667,0,1
87,2.0,7,397.0,0.0,125,22,0.0,0,0
88,1.0,41,211.0,26.0,33,3,0.13333333333333333,1,1
89,1.0,4,285.0,1.0,0,7,0.0,0,1
90,2.0,5,510.0,182.0,50,3,0.0,0,0
91,6.0,36,101.0,0.0,105,4,7.016666666666668,0,0
92,3.0,14,225.0,1.0,9,5,34.3,0,0
93,6.0,6,627.0,1.0,201,24,0.0,0,0
94,6.0,10,261.0,38.0,168,4,1.3666666666666667,0,0
95,2.0,11,116.0,11.0,147,5,4.3,0,0
96,2.0,3,87.0,17.0,43,3,0.2333333333333333,0,0
97,2.0,11,85.0,5.0,6,1,0.6333333333333333,0,0
98,1.0,3,345.0,1.0,16,3,0.3666666666666665,0,0
99,2.0,3,145.0,1.0,82,3,0.0,0,0
100,2.0,3,111.0,1.0,139,6,0.0,0,1
101,2.0,7,792.0,2.0,18,8,0.38333333333333336,0,1
102,2.0,3,444.0,1.0,69,7,4.833333333333333,0,0
103,2.0,5,41.0,3.0,4,7,0.03333333333333333,0,1
104,2.0,3,249.0,0.0,1,31,0.0,0,0
105,1.0,5,195.0,0.0,190,10,0.0,0,1
106,1.0,118,241.0,12.0,4,1,0.0,1,0
107,2.0,9,245.0,4.0,74,4,154.88333333333333,0,0
108,2.0,3,299.0,20.0,9,8,0.0,0,0
109,2.0,5,144.0,0.0,157,1,0.0,0,0
110,4.0,86,202.0,1.0,33,4,0.0,1,0
111,1.0,7,237.0,6.0,48,11,0.31666666666666665,0,0
112,6.0,3,390.0,13.0,29,4,0.0,0,0
113,4.0,9,270.0,2.0,13,5,36.85,0,0
114,2.0,3,76.0,49.0,2,3,5.266666666666667,0,0
115,1.0,4,170.0,1.0,141,2,0.0,0,1
116,2.0,7,394.0,3.0,6,6,0.0,1,1
117,2.0,6,67.0,1.0,65,10,0.06666666666666668,0,0
118,6.0,2,71.0,0.0,208,7,0.0,0,0
119,8.0,4,113.0,18.0,218,8,0.0,0,0
120,3.0,4,443.0,6.0,54,34,0.08333333333333333,0,1
121,1.0,20,54.0,51.0,4,1,0.2,1,1
122,1.0,3,264.0,10.0,17,6,0.06666666666666668,0,1
123,1.0,6,39.0,0.0,193,5,7.383333333333334,0,0
124,3.0,3,68.0,0.0,28,5,0.15,0,1
125,2.0,5,140.0,15.0,165,4,999.3833333333334,0,0
126,5.0,5,81.0,0.0,65,5,0.0,0,0
127,7.0,21,179.0,0.0,74,9,0.0,1,0
128,3.0,46,120.0,5.0,0,4,46.93333333333333,0,0
129,2.0,22,440.0,2.0,82,5,0.0,0,0
130,6.0,3,136.0,4.0,204,8,0.3666666666666665,0,1
131,1.0,9,244.0,96.0,20,6,0.0,0,0
132,4.0,3,391.0,40.0,57,6,0.4833333333333334,0,0
133,2.0,3,66.0,0.0,85,4,0.0,0,1
134,1.0,5,248.0,2.0,13,5,1184.5166666666667,0,0
135,2.0,3,519.0,64.0,41,28,0.0,0,0
136,2.0,8,108.0,2.0,91,7,403.61666666666673,1,1
137,3.0,35,228.0,0.0,74,5,13.883333333333333,0,0
138,2.0,4,146.0,2.0,32,9,7290.55,0,0
139,1.0,7,375.0,0.0,142,24,0.0,0,0
140,1.0,4,77.0,2.0,110,8,0.35,0,0
141,5.0,11,47.0,0.0,137,6,31546.46666666667,0,0
142,1.0,13,190.0,20.0,65,3,316.55,0,0
143,2.0,15,310.0,58.0,53,4,0.5333333333333333,1,0
144,1.0,3,608.0,56.0,5,6,0.08333333333333333,0,0
145,1.0,3,132.0,4.0,187,7,445.71666666666664,0,1
146,3.0,15,64.0,2.0,17,3,1434.0,0,0
147,2.0,3,618.0,0.0,215,8,0.0,0,0
148,1.0,3,330.0,0.0,41,4,0.0,0,1
149,2.0,3,47.0,17.0,20,4,0.4833333333333334,0,1
150,2.0,3,475.0,26.0,246,8,0.06666666666666668,0,0
151,3.0,5,49.0,1.0,240,6,2.4,0,0
152,4.0,4,239.0,1.0,23,7,0.8833333333333333,0,0
153,5.0,3,316.0,0.0,61,11,0.3333333333333333,0,0
154,4.0,5,76.0,37.0,21,4,2.466666666666667,0,1
155,2.0,15,205.0,6.0,33,6,2047.466666666667,0,0
156,6.0,5,61.0,0.0,92,3,0.03333333333333333,0,0
157,4.0,9,196.0,27.0,42,6,0.0,1,0
158,3.0,4,202.0,2.0,214,15,1297.3333333333333,0,0
159,4.0,4,234.0,36.0,25,5,0.0,0,0
160,5.0,3,243.0,0.0,18,4,0.0,0,0
161,1.0,3,97.0,0.0,0,14,2.6166666666666667,0,1
162,4.0,10,209.0,27.0,44,2,0.9333333333333332,0,1
163,6.0,13,336.0,1.0,104,24,0.0,0,0
164,1.0,3,106.0,12.0,17,2,29.15,0,0
165,1.0,6,102.0,6.0,3,30,0.0,0,0
166,3.0,18,186.0,6.0,24,4,1.6166666666666667,1,0
167,2.0,2,80.0,0.0,200,12,0.0,0,0
168,6.0,7,119.0,0.0,20,5,86.06666666666666,0,0
169,2.0,11,300.0,97.0,60,3,1.0333333333333334,1,0
170,6.0,5,220.0,0.0,56,22,3998.833333333334,0,0
171,4.0,30,333.0,16.0,27,5,0.16666666666666666,1,0
172,2.0,5,18.0,0.0,25,5,561.6,0,1
173,1.0,5,270.0,1.0,20,8,0.0,0,1
174,3.0,40,50.0,0.0,93,2,0.43333333333333335,0,0
175,2.0,5,51.0,16.0,50,15,0.11666666666666667,0,1
176,4.0,29,506.0,0.0,25,32,86.18333333333334,1,0
177,3.0,3,529.0,4.0,91,4,0.06666666666666668,0,0
178,3.0,5,514.0,1.0,204,6,0.0,0,0
179,4.0,6,261.0,6.0,26,8,43.05,0,0
180,2.0,5,533.0,24.0,21,3,0.4166666666666667,0,1
181,3.0,2,139.0,10.0,20,5,0.0,0,0
182,4.0,18,65.0,0.0,136,6,1016.7166666666667,0,0
183,5.0,3,71.0,1.0,209,7,3012.566666666666,0,0
184,6.0,7,257.0,1.0,44,2,846.9166666666665,0,0
185,3.0,6,277.0,0.0,163,10,806.3,0,0
186,1.0,5,361.0,0.0,7,2,1837.733333333333,0,0
187,3.0,17,122.0,0.0,68,11,1.1833333333333331,0,0
188,4.0,13,271.0,58.0,57,4,2.1,0,0
189,10.0,6,71.0,0.0,118,3,9881.45,0,0
190,3.0,25,593.0,9.0,0,11,64.50000000000001,1,0
191,8.0,5,388.0,0.0,60,30,102.1,0,0
192,4.0,4,108.0,0.0,208,7,0.0,0,0
193,4.0,8,120.0,4.0,16,3,0.03333333333333333,0,0
194,1.0,12,193.0,0.0,19,1,1118.1333333333334,0,0
195,8.0,4,286.0,1.0,38,16,399.48333333333335,0,0
196,1.0,22,157.0,3.0,152,10,0.0,1,1
197,2.0,56,248.0,61.0,121,4,0.06666666666666668,1,1
198,2.0,3,479.0,45.0,84,8,0.16666666666666666,0,1
199,2.0,5,135.0,4.0,24,11,0.0,0,0
200,2.0,4,353.0,11.0,131,9,3854.1,0,1
201,3.0,20,408.0,1.0,28,9,0.0,1,1
202,2.0,7,254.0,0.0,205,7,0.0,0,1
203,2.0,3,330.0,9.0,44,25,0.2333333333333333,0,0
204,4.0,4,145.0,4.0,131,8,0.016666666666666666,0,0
205,3.0,4,677.0,0.0,133,12,150.16666666666666,0,1
206,6.0,3,132.0,1.0,64,11,0.0,0,0
207,2.0,6,238.0,0.0,55,12,0.0,0,0
208,4.0,13,152.0,11.0,75,10,14.15,0,0
209,2.0,3,255.0,3.0,40,4,0.06666666666666668,0,0
210,1.0,5,29.0,9.0,18,1,0.0,0,0
211,1.0,3,136.0,1.0,151,5,0.0,0,0
212,5.0,13,293.0,2.0,70,25,1.1,0,0
213,2.0,3,250.0,84.0,44,4,0.11666666666666667,0,0
214,4.0,4,64.0,3.0,13,6,0.0,0,1
215,1.0,3,391.0,0.0,23,31,1.35,0,1
216,1.0,6,204.0,1.0,37,18,2867.266666666667,0,0
217,4.0,4,440.0,4.0,165,12,0.0,0,0
218,6.0,4,360.0,30.0,32,9,0.03333333333333333,0,0
219,4.0,73,75.0,0.0,12,7,2354.0333333333333,1,0
220,2.0,62,220.0,21.0,19,1,0.0,1,0
221,1.0,22,508.0,11.0,1,2,0.0,1,0
222,6.0,18,270.0,3.0,3,4,0.0,1,0
223,3.0,3,51.0,21.0,21,4,0.0,0,0
224,2.0,5,162.0,36.0,37,3,0.0,0,0
225,4.0,4,350.0,69.0,34,1,0.0,0,0
226,4.0,4,279.0,0.0,72,9,0.7,0,0
227,4.0,3,308.0,2.0,163,4,0.03333333333333333,0,1
228,4.0,7,170.0,7.0,208,3,50.41666666666666,0,0
229,6.0,10,411.0,1.0,72,23,0.06666666666666668,0,0
230,1.0,4,125.0,109.0,25,3,16.133333333333336,0,1
231,3.0,16,176.0,13.0,3,4,1504.6,0,1
232,7.0,3,101.0,0.0,60,2,0.16666666666666666,0,0
233,1.0,28,97.0,0.0,44,20,0.06666666666666668,1,1
234,10.0,3,141.0,6.0,8,2,0.2,0,0
235,1.0,4,242.0,0.0,79,19,1978.666666666667,0,0
236,1.0,16,197.0,0.0,4,5,0.0,0,1
237,2.0,13,538.0,0.0,16,10,0.0,1,0
238,5.0,4,127.0,9.0,209,2,2787.383333333333,0,0
239,2.0,3,283.0,14.0,70,4,0.9,0,1
240,4.0,8,168.0,0.0,65,10,6922.65,0,1
241,1.0,25,363.0,34.0,43,4,1.2666666666666666,1,0
242,2.0,5,87.0,4.0,0,14,0.0,0,1
243,3.0,14,222.0,15.0,12,7,1.1666666666666667,0,0
244,4.0,3,113.0,17.0,203,5,0.0,0,0
245,1.0,3,109.0,0.0,51,21,0.03333333333333333,0,0
246,5.0,3,235.0,16.0,28,7,0.2833333333333333,0,0
247,5.0,15,779.0,26.0,285,11,0.13333333333333333,0,0
248,1.0,10,328.0,10.0,72,10,0.0,0,0
249,3.0,21,246.0,0.0,63,4,23.91666666666667,0,1
250,3.0,4,429.0,0.0,1,3,0.0,0,1
251,6.0,10,464.0,2.0,146,2,807.4,1,0
252,4.0,3,72.0,12.0,37,4,0.0,0,0
253,2.0,3,456.0,1.0,36,3,0.0,0,0
254,5.0,15,154.0,139.0,223,8,1.6166666666666667,0,0
255,2.0,3,133.0,47.0,3,22,0.08333333333333333,0,0
256,1.0,5,490.0,0.0,112,3,0.0,0,0
257,4.0,9,91.0,93.0,3,2,0.3333333333333333,0,0
258,2.0,2,394.0,31.0,131,5,0.0,0,0
259,1.0,5,137.0,7.0,7,4,39.55,0,0
260,5.0,16,79.0,3.0,23,18,180.36666666666667,1,0
261,1.0,6,251.0,14.0,3,4,178.28333333333333,0,0
262,1.0,5,415.0,2.0,3,1,0.016666666666666666,0,0
263,1.0,3,173.0,21.0,6,4,0.13333333333333333,0,0
264,2.0,2,70.0,0.0,13,4,0.0,0,0
265,9.0,22,196.0,12.0,43,2,0.1,1,1
266,2.0,9,65.0,0.0,74,3,0.7833333333333333,0,1
267,2.0,27,274.0,5.0,0,7,7.950000000000001,1,0
268,4.0,3,96.0,15.0,19,4,0.18333333333333326,0,1
269,1.0,54,780.0,27.0,152,7,0.0,1,0
270,1.0,3,251.0,0.0,106,2,4.783333333333333,0,1
271,4.0,8,284.0,1.0,23,5,0.0,0,0
272,1.0,9,171.0,1.0,0,3,45.08333333333334,0,0
273,4.0,3,113.0,1.0,201,6,688.5666666666667,0,0
274,2.0,3,139.0,46.0,6,2,0.03333333333333333,0,0
275,2.0,5,459.0,37.0,95,5,0.13333333333333333,0,1
276,4.0,6,344.0,0.0,26,5,4806.8,0,1
277,3.0,26,90.0,5.0,127,7,50.48333333333333,0,0
278,1.0,10,140.0,0.0,49,274,1600.9833333333331,0,0
279,4.0,5,175.0,0.0,115,5,0.0,0,0
280,2.0,4,212.0,13.0,37,10,0.0,0,0
281,2.0,11,144.0,22.0,0,5,437.75,0,1
282,3.0,15,130.0,4.0,6,14,204.1833333333333,1,1
283,1.0,5,347.0,0.0,2,4,1650.95,0,0
284,4.0,11,165.0,5.0,10,5,0.0,1,0
285,2.0,3,218.0,33.0,2,2,0.0,0,0
286,4.0,11,145.0,0.0,121,11,980.5,0,0
287,4.0,7,120.0,0.0,135,1,611.6833333333333,0,0
288,2.0,16,103.0,10.0,4,7,4.866666666666666,1,0
289,3.0,3,176.0,5.0,217,3,0.1,0,1
290,2.0,12,573.0,2.0,187,1,0.0,0,0
291,1.0,4,410.0,0.0,192,5,1562.1833333333334,0,0
292,3.0,6,270.0,2.0,195,3,1.6166666666666667,0,1
293,2.0,3,176.0,12.0,37,3,800.8333333333335,0,0
294,6.0,7,210.0,24.0,92,6,0.0,0,1
295,3.0,6,28.0,0.0,51,3,0.0,1,1
296,6.0,3,353.0,0.0,51,7,35568.25,0,1
297,2.0,6,42.0,36.0,140,5,0.0,0,0
298,5.0,4,262.0,34.0,36,2,0.0,0,0
299,1.0,10,396.0,24.0,12,24,0.2333333333333333,0,1
300,1.0,6,324.0,1.0,1,2,2.0500000000000003,0,1
301,1.0,8,246.0,5.0,63,29,0.0,0,1
302,1.0,6,128.0,0.0,39,7,0.0,0,0
303,3.0,9,356.0,0.0,24,5,789.7,0,0
304,1.0,16,339.0,0.0,57,9,0.0,0,0
305,6.0,8,338.0,0.0,89,2,0.0,0,0
306,2.0,3,30.0,2.0,9,5,0.11666666666666667,0,0
307,1.0,26,391.0,0.0,3,28,0.0,0,0
308,2.0,10,218.0,49.0,35,4,0.0,1,1
309,2.0,3,616.0,0.0,215,8,0.11666666666666667,0,0
310,1.0,5,247.0,5.0,0,2,858.0166666666668,1,0
311,3.0,7,107.0,38.0,47,7,132.46666666666667,0,0
312,2.0,7,463.0,69.0,57,5,717.6,0,0
313,3.0,4,173.0,0.0,29,5,0.0,0,1
314,4.0,68,91.0,1.0,19,5,362.85,1,1
315,5.0,3,416.0,1.0,206,5,0.0,0,1
316,2.0,2,225.0,3.0,14,2,0.0,0,1
317,1.0,9,228.0,2.0,5,3,47.63333333333333,0,0
318,4.0,22,158.0,35.0,71,20,21.73333333333333,0,0
319,4.0,4,227.0,31.0,70,3,639.1833333333333,0,0
320,3.0,5,149.0,47.0,15,4,0.2,0,0
321,2.0,14,180.0,1.0,0,6,0.0,0,0
322,4.0,2,99.0,16.0,352,7,0.0,0,1
323,1.0,6,139.0,0.0,44,14,0.08333333333333333,0,0
324,2.0,17,198.0,0.0,180,2,4499.65,1,0
325,4.0,4,454.0,10.0,57,3,0.13333333333333333,0,0
326,3.0,4,616.0,1.0,43,8,0.15,0,0
327,6.0,21,149.0,38.0,373,9,0.0,0,1
328,8.0,17,309.0,0.0,86,2,943.6166666666667,1,0
329,1.0,3,45.0,7.0,4,2,1090.65,0,0
330,6.0,7,272.0,0.0,74,6,1440.95,0,0
331,6.0,3,411.0,0.0,123,6,2764.666666666666,0,0
332,1.0,18,649.0,4.0,148,12,0.03333333333333333,1,1
333,4.0,13,323.0,3.0,37,2,3.4,0,0
334,1.0,7,561.0,27.0,107,5,0.13333333333333333,0,1
335,2.0,6,220.0,11.0,0,1,0.6333333333333333,1,1
336,2.0,11,291.0,4.0,58,3,0.2500000000000001,0,0
337,1.0,7,202.0,1.0,11,1,0.0,0,1
338,4.0,9,217.0,0.0,240,3,0.0,0,1
339,6.0,3,330.0,0.0,54,7,3.466666666666667,0,1
340,2.0,7,126.0,0.0,2,4,2363.0,0,1
341,4.0,3,202.0,0.0,76,8,0.0,0,0
342,1.0,13,26.0,3.0,7,4,0.03333333333333333,0,0
343,1.0,20,321.0,4.0,184,8,0.0,1,0
344,2.0,3,223.0,0.0,128,6,0.0,0,0
345,2.0,3,15.0,4.0,4,3,0.8,0,0
346,3.0,6,290.0,0.0,61,10,0.0,0,0
347,1.0,8,327.0,0.0,70,4,57.35,0,1
348,2.0,5,291.0,73.0,24,6,11.866666666666667,0,1
349,2.0,7,113.0,0.0,12,6,0.0,0,1
350,3.0,27,268.0,0.0,126,10,71.3,1,0
351,2.0,3,73.0,20.0,9,2,0.05,0,0
352,7.0,5,98.0,20.0,22,3,0.08333333333333333,0,1
353,2.0,3,163.0,3.0,33,6,21.016666666666666,0,0
354,2.0,12,192.0,112.0,73,2,0.0,1,1
355,2.0,5,133.0,0.0,178,10,737.65,0,1
356,4.0,12,865.0,30.0,9,4,228.55,1,0
357,4.0,11,174.0,1.0,103,22,62.18333333333334,0,1
358,1.0,2,353.0,2.0,139,6,0.0,0,1
359,2.0,3,30.0,2.0,15,1,890.7833333333333,0,1
360,2.0,5,116.0,19.0,15,2,0.2,0,1
361,2.0,3,500.0,30.0,80,3,0.0,0,0
362,2.0,4,134.0,53.0,4,5,0.08333333333333333,0,1
363,8.0,6,205.0,0.0,43,3,0.0,0,0
364,1.0,4,308.0,1.0,71,14,0.15,0,1
365,1.0,3,313.0,31.0,17,2,0.0,0,0
366,4.0,3,100.0,36.0,77,3,1041.8000000000004,0,0
367,4.0,5,233.0,1.0,22,3,0.2333333333333333,0,0
368,2.0,5,123.0,2.0,24,4,0.0,0,0
369,1.0,3,80.0,0.0,1,3,0.016666666666666666,0,0
370,1.0,23,227.0,5.0,1,2,0.21666666666666667,0,1
371,3.0,2,109.0,0.0,107,2,0.0,0,1
372,4.0,18,94.0,22.0,23,2,0.9166666666666666,0,1
373,4.0,5,76.0,0.0,110,15,1.3333333333333333,0,0
374,6.0,3,109.0,8.0,25,5,0.016666666666666666,0,1
375,1.0,5,391.0,1.0,62,9,0.0,0,0
376,3.0,7,187.0,10.0,1,2,94.46666666666668,1,0
377,1.0,3,495.0,2.0,26,12,0.4,0,1
378,6.0,5,247.0,0.0,54,21,0.0,0,1
379,1.0,7,207.0,9.0,0,2,86.15,1,0
380,3.0,3,137.0,27.0,103,2,1.8,0,0
381,2.0,7,144.0,9.0,23,2,103.65,1,0
382,2.0,3,55.0,0.0,15,3,951.5,0,0
383,2.0,8,209.0,53.0,28,6,0.0,0,1
384,5.0,3,65.0,10.0,137,4,0.11666666666666667,0,0
385,5.0,3,212.0,1.0,136,6,0.0,0,0
386,4.0,2,280.0,4.0,23,3,0.0,0,0
387,4.0,3,80.0,0.0,31,5,0.0,0,0
388,2.0,9,329.0,18.0,12,4,0.06666666666666668,0,0
389,1.0,3,359.0,17.0,61,30,4889.383333333333,0,1
390,8.0,3,227.0,3.0,34,10,0.13333333333333333,0,0
391,1.0,5,101.0,0.0,177,9,9.933333333333334,0,0
392,2.0,4,623.0,49.0,79,5,0.0,0,0
393,6.0,14,23.0,0.0,121,14,0.0,0,0
394,3.0,5,103.0,0.0,20,7,1633.916666666667,0,1
395,1.0,3,348.0,0.0,47,4,0.0,0,1
396,4.0,4,397.0,1.0,192,5,0.0,0,0
397,2.0,4,31.0,9.0,13,7,0.7,0,0
398,3.0,3,268.0,41.0,255,15,0.08333333333333333,0,0
399,4.0,16,135.0,0.0,171,8,11675.966666666667,0,0
400,2.0,5,251.0,4.0,62,137,0.31666666666666665,0,0
401,2.0,4,147.0,31.0,184,6,765.6833333333333,0,0
402,1.0,15,166.0,0.0,24,3,595.1166666666667,1,1
403,2.0,8,125.0,36.0,14,4,0.0,0,0
404,4.0,2,53.0,0.0,83,3,0.0,0,0
405,3.0,3,67.0,12.0,28,5,162.68333333333334,0,1
406,2.0,3,555.0,1.0,69,12,726.5166666666668,0,0
407,6.0,17,30.0,3.0,30,4,2926.05,1,0
408,6.0,5,140.0,105.0,39,15,0.0,0,0
409,2.0,18,45.0,33.0,173,7,0.0,1,0
410,2.0,8,254.0,94.0,78,3,1.7833333333333334,0,0
411,1.0,13,422.0,51.0,0,4,46.38333333333333,1,1
412,1.0,14,14.0,8.0,3,2,0.016666666666666666,0,1
413,2.0,3,18.0,6.0,104,2,1.5666666666666669,0,1
414,2.0,3,357.0,0.0,118,7,0.0,0,0
415,9.0,2,194.0,5.0,71,3,0.0,0,0
416,1.0,10,720.0,6.0,13,29,0.016666666666666666,0,0
417,2.0,6,135.0,0.0,33,123,743.9333333333333,0,0
418,3.0,3,261.0,23.0,7,3,0.0,0,1
419,6.0,2,108.0,5.0,22,5,0.0,0,0
420,1.0,11,172.0,0.0,17,2,1974.1833333333327,0,0
421,1.0,2,26.0,39.0,0,4,0.0,0,1
422,4.0,14,249.0,7.0,213,9,10295.083333333334,1,0
423,2.0,5,64.0,30.0,248,4,588.3833333333333,0,0
424,3.0,3,171.0,47.0,28,5,0.0,0,0
425,2.0,3,118.0,0.0,19,3,2460.9666666666667,0,0
426,2.0,5,120.0,1.0,176,6,0.0,0,0
427,3.0,3,98.0,0.0,8,3,835.6833333333333,0,0
428,1.0,3,150.0,2.0,1,16,1.2,0,0
429,4.0,7,230.0,1.0,83,5,0.5666666666666667,0,0
430,1.0,3,169.0,128.0,325,12,0.3666666666666665,0,0
431,1.0,6,226.0,0.0,1,1,0.0,0,1
432,2.0,3,22.0,21.0,28,3,0.0,0,0
433,3.0,4,257.0,55.0,18,3,1.4333333333333331,0,0
434,6.0,2,127.0,4.0,12,6,0.0,0,0
435,1.0,7,301.0,39.0,90,3,0.65,0,1
436,3.0,7,48.0,46.0,56,3,0.0,0,0
437,1.0,9,211.0,0.0,180,50,0.0,0,1
438,1.0,83,360.0,4.0,6,3,15434.333333333336,1,0
439,2.0,3,178.0,57.0,26,4,4840.466666666666,0,0
440,1.0,4,89.0,7.0,29,5,0.0,0,0
441,2.0,8,238.0,8.0,48,14,183.38333333333333,0,0
442,2.0,4,159.0,23.0,31,3,0.4,0,0
443,2.0,3,323.0,0.0,1,7,0.05,0,1
444,10.0,5,362.0,1.0,28,5,0.0,0,0
445,2.0,5,248.0,2.0,132,9,1.5,0,0
446,2.0,15,382.0,4.0,4,8,0.0,1,0
447,2.0,19,193.0,1.0,63,3,660.2833333333333,1,0
448,8.0,12,134.0,0.0,50,12,691.0333333333333,0,0
449,10.0,7,89.0,10.0,141,2,930.0,0,0
450,2.0,4,106.0,1.0,16,6,0.05,0,1
451,1.0,15,130.0,0.0,29,24,183.85,0,0
452,2.0,3,53.0,20.0,56,4,0.0,0,0
453,6.0,3,114.0,0.0,29,4,0.0,0,0
454,1.0,27,291.0,6.0,8,7,0.0,0,0
455,4.0,4,76.0,2.0,13,5,0.0,0,0
456,1.0,3,561.0,14.0,84,7,0.03333333333333333,0,0
457,4.0,2,104.0,1.0,6,3,0.0,0,0
458,2.0,3,90.0,39.0,28,4,0.4,0,1
459,4.0,14,95.0,1.0,52,2,1.3,0,0
460,4.0,13,151.0,0.0,208,5,202.26666666666668,0,0
