,guest_size,message_length,total_reviews,lead_time,days_of_stay,replied,rt_Entire_home/apt,rt_Private room,rt_Shared room,contact_me,past_booker,not_replied
159,2.0,228.0,4.0,60,32,1,1,0,0,1,1,0
164,2.0,91.0,0.0,78,10,0,0,1,0,1,0,1
165,1.0,67.0,1.0,0,2,1,0,0,1,0,1,0
166,4.0,39.0,144.0,133,2,1,1,0,0,0,1,0
168,4.0,146.0,2.0,3,2,1,1,0,0,1,0,0
169,1.0,365.0,0.0,190,6,1,1,0,0,1,0,0
170,2.0,138.0,2.0,34,7,1,1,0,0,0,1,0
173,2.0,276.0,0.0,17,3,1,1,0,0,1,0,0
176,2.0,411.0,1.0,62,16,1,0,1,0,0,0,0
177,2.0,656.0,37.0,45,2,1,0,1,0,1,0,0
178,4.0,200.0,0.0,91,21,1,1,0,0,1,0,0
179,2.0,252.0,0.0,0,2,1,1,0,0,1,1,0
181,2.0,295.0,22.0,96,4,1,1,0,0,0,1,0
183,2.0,247.0,0.0,196,5,1,1,0,0,0,0,0
187,2.0,343.0,10.0,184,2,1,0,0,1,0,0,0
188,8.0,119.0,5.0,22,5,1,1,0,0,0,0,0
190,4.0,75.0,8.0,30,4,1,1,0,0,1,0,0
191,1.0,0.0,6.0,8,2,1,0,1,0,0,1,0
194,5.0,192.0,0.0,161,6,1,1,0,0,1,0,0
195,5.0,157.0,0.0,55,6,1,1,0,0,1,0,0
196,1.0,405.0,10.0,181,7,1,1,0,0,0,1,0
198,4.0,186.0,0.0,109,4,1,1,0,0,1,0,0
199,1.0,44.0,1.0,0,4,1,0,1,0,1,0,0
200,6.0,146.0,0.0,30,5,1,1,0,0,1,0,0
203,6.0,134.0,1.0,39,15,1,1,0,0,1,0,0
204,1.0,158.0,2.0,6,92,1,1,0,0,1,1,0
208,2.0,750.0,10.0,15,5,1,1,0,0,0,0,0
209,4.0,61.0,0.0,22,4,1,1,0,0,1,0,0
210,10.0,80.0,5.0,41,4,1,1,0,0,0,0,0
212,4.0,999.0,1.0,100,21,1,1,0,0,1,1,0
213,2.0,254.0,20.0,20,7,1,1,0,0,0,1,0
214,5.0,138.0,0.0,48,4,1,1,0,0,1,0,0
216,3.0,94.0,0.0,17,2,1,0,0,1,1,0,0
217,2.0,702.0,3.0,28,6,1,1,0,0,1,1,0
219,3.0,0.0,2.0,31,3,1,1,0,0,0,1,0
220,2.0,90.0,5.0,93,8,1,1,0,0,1,0,0
222,4.0,163.0,1.0,24,4,1,0,1,0,1,0,0
228,2.0,73.0,1.0,20,5,1,1,0,0,0,0,0
229,1.0,42.0,0.0,29,6,1,0,0,1,1,0,0
231,4.0,194.0,0.0,153,1,1,1,0,0,1,0,0
233,2.0,118.0,0.0,209,10,0,1,0,0,1,0,1
238,5.0,262.0,1.0,29,8,0,1,0,0,0,0,1
240,2.0,154.0,12.0,221,2,1,1,0,0,1,0,0
243,1.0,47.0,0.0,67,10,1,1,0,0,1,1,0
244,2.0,153.0,0.0,166,9,1,1,0,0,0,1,0
245,3.0,256.0,0.0,155,31,1,1,0,0,0,0,0
247,2.0,135.0,45.0,62,3,1,1,0,0,0,0,0
248,4.0,315.0,0.0,1,2,1,1,0,0,0,0,0
249,2.0,181.0,9.0,107,6,1,1,0,0,1,0,0
251,1.0,65.0,0.0,201,4,1,0,1,0,1,0,0
253,1.0,536.0,1.0,1,3,1,0,1,0,0,0,0
255,2.0,245.0,0.0,66,10,1,0,1,0,0,1,0
258,2.0,547.0,0.0,89,11,1,0,1,0,1,0,0
260,2.0,376.0,42.0,29,3,1,1,0,0,1,1,0
261,4.0,364.0,2.0,70,105,1,1,0,0,1,0,0
265,4.0,271.0,15.0,120,6,1,1,0,0,1,0,0
267,3.0,168.0,0.0,30,5,1,1,0,0,1,0,0
268,4.0,11.0,0.0,162,5,1,1,0,0,0,0,0
271,3.0,83.0,0.0,122,4,1,1,0,0,1,1,0
272,2.0,704.0,10.0,12,11,1,1,0,0,0,1,0
273,1.0,150.0,0.0,16,3,1,0,1,0,0,0,0
275,1.0,361.0,0.0,6,3,1,1,0,0,1,0,0
276,5.0,564.0,20.0,247,6,1,1,0,0,1,0,0
277,6.0,142.0,0.0,34,4,1,1,0,0,1,0,0
278,5.0,0.0,1.0,102,12,1,1,0,0,0,1,0
279,1.0,260.0,0.0,18,28,1,1,0,0,0,1,0
280,3.0,114.0,0.0,26,11,1,1,0,0,1,1,0
281,4.0,231.0,0.0,66,8,1,1,0,0,1,0,0
282,2.0,195.0,1.0,39,30,1,1,0,0,1,0,0
285,2.0,202.0,0.0,11,5,1,0,1,0,1,1,0
286,6.0,175.0,2.0,90,2,0,1,0,0,0,0,1
287,2.0,46.0,0.0,85,2,0,0,1,0,0,1,1
289,4.0,18.0,0.0,200,22,1,1,0,0,1,1,0
290,2.0,165.0,7.0,94,3,1,1,0,0,0,0,0
291,2.0,250.0,4.0,103,7,0,1,0,0,0,0,1
292,3.0,0.0,3.0,97,11,1,1,0,0,0,0,0
293,4.0,0.0,5.0,137,4,1,1,0,0,0,1,0
295,1.0,44.0,0.0,168,30,1,1,0,0,1,0,0
296,1.0,333.0,8.0,69,4,1,1,0,0,1,0,0
299,6.0,146.0,0.0,149,6,1,1,0,0,1,1,0
302,5.0,128.0,0.0,12,6,0,1,0,0,0,1,1
303,2.0,219.0,0.0,57,13,1,1,0,0,1,0,0
304,2.0,102.0,1.0,31,3,1,1,0,0,0,0,0
305,2.0,285.0,32.0,9,3,1,0,1,0,1,0,0
306,5.0,247.0,3.0,80,15,1,1,0,0,1,0,0
307,4.0,24.0,0.0,72,7,1,1,0,0,0,1,0
309,2.0,0.0,0.0,182,4,1,1,0,0,0,1,0
312,2.0,657.0,2.0,27,4,0,1,0,0,0,1,1
313,2.0,255.0,0.0,0,3,1,1,0,0,1,0,0
314,4.0,63.0,0.0,126,19,1,1,0,0,0,0,0
316,4.0,453.0,1.0,183,6,1,1,0,0,1,1,0
317,2.0,265.0,0.0,86,6,0,1,0,0,1,1,1
318,3.0,138.0,1.0,55,1,1,1,0,0,0,1,0
320,1.0,198.0,0.0,0,1,0,0,1,0,0,1,1
322,10.0,96.0,7.0,125,2,1,1,0,0,1,0,0
323,4.0,40.0,0.0,16,2,1,1,0,0,0,1,0
324,3.0,352.0,0.0,38,23,1,1,0,0,1,0,0
326,1.0,258.0,20.0,5,7,1,1,0,0,1,0,0
327,4.0,257.0,1.0,34,3,0,0,0,1,1,0,1
328,4.0,167.0,0.0,57,1,1,1,0,0,1,0,0
329,4.0,249.0,5.0,68,2,1,1,0,0,1,0,0
330,4.0,87.0,0.0,29,9,1,1,0,0,0,0,0
331,5.0,141.0,0.0,68,7,1,1,0,0,1,0,0
333,5.0,205.0,1.0,24,6,1,1,0,0,0,0,0
334,3.0,229.0,1.0,59,3,1,0,0,1,1,0,0
335,5.0,405.0,1.0,18,1,1,1,0,0,0,0,0
336,1.0,82.0,1.0,99,11,1,0,1,0,1,0,0
341,6.0,277.0,0.0,66,8,1,1,0,0,1,1,0
342,3.0,103.0,0.0,152,5,1,1,0,0,0,1,0
343,1.0,49.0,0.0,120,3,1,1,0,0,0,0,0
344,4.0,225.0,0.0,26,3,1,1,0,0,1,1,0
346,3.0,166.0,67.0,118,5,1,1,0,0,0,1,0
347,2.0,213.0,3.0,176,5,1,1,0,0,1,1,0
349,2.0,221.0,13.0,5,1,0,0,1,0,0,1,1
351,4.0,0.0,26.0,139,2,1,1,0,0,0,0,0
352,2.0,211.0,0.0,209,7,1,1,0,0,0,1,0
353,2.0,229.0,56.0,56,3,1,1,0,0,0,1,0
354,2.0,206.0,2.0,26,3,1,1,0,0,0,0,0
356,2.0,0.0,4.0,24,30,1,0,1,0,0,0,0
357,3.0,351.0,0.0,199,6,1,1,0,0,0,1,0
358,4.0,119.0,1.0,186,15,1,1,0,0,1,0,0
359,4.0,298.0,1.0,97,21,0,0,0,1,1,0,1
361,2.0,178.0,0.0,0,152,1,0,1,0,1,0,0
363,2.0,405.0,0.0,31,3,1,1,0,0,0,1,0
366,6.0,429.0,2.0,208,12,0,1,0,0,1,0,1
368,1.0,588.0,87.0,0,3,1,0,1,0,1,1,0
369,1.0,108.0,4.0,3,1,1,0,1,0,0,1,0
370,1.0,86.0,2.0,85,10,1,1,0,0,1,1,0
372,2.0,139.0,27.0,29,5,1,1,0,0,1,0,0
374,4.0,321.0,1.0,109,10,1,1,0,0,1,0,0
375,2.0,112.0,9.0,22,2,1,0,1,0,1,0,0
376,1.0,28.0,0.0,176,21,1,1,0,0,1,1,0
377,1.0,193.0,15.0,9,29,1,1,0,0,1,0,0
378,2.0,128.0,0.0,11,6,0,1,0,0,1,0,1
379,2.0,199.0,3.0,179,4,0,1,0,0,1,0,1
380,6.0,325.0,0.0,9,2,1,1,0,0,1,0,0
381,3.0,669.0,3.0,193,19,1,1,0,0,1,0,0
382,2.0,112.0,22.0,4,4,1,1,0,0,1,0,0
384,2.0,0.0,11.0,7,2,1,1,0,0,0,1,0
385,2.0,484.0,35.0,171,5,1,1,0,0,1,0,0
386,4.0,159.0,5.0,200,7,1,1,0,0,1,0,0
389,1.0,165.0,4.0,22,2,1,0,0,1,0,1,0
390,1.0,96.0,0.0,78,11,1,0,0,1,0,0,0
392,1.0,221.0,1.0,10,13,1,0,1,0,1,0,0
393,6.0,163.0,0.0,104,9,1,1,0,0,1,1,0
394,1.0,172.0,0.0,179,29,1,0,1,0,1,0,0
395,3.0,61.0,39.0,34,4,1,0,1,0,1,0,0
396,2.0,190.0,43.0,12,4,1,0,1,0,1,1,0
397,2.0,88.0,1.0,17,2,1,1,0,0,0,1,0
398,3.0,220.0,5.0,388,7,1,1,0,0,1,0,0
399,4.0,287.0,0.0,92,5,1,1,0,0,1,1,0
400,2.0,1032.0,0.0,134,8,1,1,0,0,1,0,0
402,1.0,324.0,5.0,143,8,0,1,0,0,1,1,1
403,4.0,54.0,6.0,2,4,1,1,0,0,1,0,0
405,2.0,223.0,1.0,75,2,1,1,0,0,0,1,0
407,4.0,138.0,0.0,16,5,1,1,0,0,1,0,0
408,4.0,0.0,0.0,62,3,1,1,0,0,0,1,0
410,6.0,74.0,3.0,10,4,0,1,0,0,1,0,1
411,1.0,345.0,4.0,6,2,1,0,1,0,1,0,0
412,1.0,193.0,1.0,0,7,0,1,0,0,1,1,1
413,4.0,334.0,0.0,5,6,1,1,0,0,0,0,0
414,1.0,37.0,30.0,14,4,1,1,0,0,0,0,0
415,2.0,60.0,0.0,96,21,1,1,0,0,1,1,0
416,5.0,0.0,0.0,126,3,0,1,0,0,0,1,1
422,2.0,41.0,3.0,39,4,1,1,0,0,0,0,0
423,2.0,209.0,3.0,9,5,1,1,0,0,1,1,0
424,8.0,166.0,1.0,269,5,1,1,0,0,1,0,0
425,4.0,284.0,1.0,184,10,1,1,0,0,1,0,0
426,2.0,14.0,6.0,34,13,1,0,1,0,0,0,0
427,6.0,142.0,1.0,181,2,1,1,0,0,1,0,0
428,2.0,258.0,1.0,68,5,0,1,0,0,1,1,1
429,2.0,27.0,19.0,0,5,1,1,0,0,0,1,0
430,1.0,37.0,1.0,81,7,1,1,0,0,1,1,0
432,3.0,286.0,0.0,43,3,1,0,1,0,0,0,0
433,8.0,164.0,0.0,189,16,1,1,0,0,1,1,0
436,3.0,47.0,1.0,2,4,1,0,1,0,1,0,0
437,2.0,72.0,113.0,3,3,1,1,0,0,1,1,0
438,3.0,324.0,0.0,96,15,1,1,0,0,1,1,0
439,4.0,0.0,13.0,9,5,1,1,0,0,0,0,0
442,3.0,128.0,16.0,78,22,1,1,0,0,1,0,0
444,2.0,180.0,44.0,45,4,1,1,0,0,0,0,0
445,1.0,38.0,96.0,5,4,1,1,0,0,0,1,0
446,10.0,101.0,0.0,219,9,0,1,0,0,1,0,1
447,1.0,83.0,0.0,69,10,1,1,0,0,1,1,0
448,2.0,224.0,10.0,5,4,1,0,1,0,0,1,0
452,2.0,199.0,0.0,82,6,1,1,0,0,1,0,0
454,1.0,170.0,5.0,125,21,0,0,1,0,1,0,1
455,1.0,128.0,0.0,20,5,1,1,0,0,1,0,0
456,2.0,303.0,7.0,5,5,1,0,1,0,0,0,0
459,1.0,541.0,5.0,85,15,1,0,1,0,1,1,0
461,2.0,502.0,0.0,7,2,1,1,0,0,1,1,0
462,2.0,384.0,12.0,1,1,0,1,0,0,0,1,1
463,1.0,211.0,26.0,33,3,1,1,0,0,1,1,0
464,4.0,6.0,1.0,136,16,1,1,0,0,0,1,0
466,4.0,337.0,1.0,216,5,1,1,0,0,1,0,0
467,3.0,358.0,5.0,59,3,1,1,0,0,0,1,0
468,1.0,335.0,4.0,125,5,1,0,1,0,0,1,0
471,6.0,101.0,0.0,105,4,1,1,0,0,1,0,0
472,5.0,530.0,0.0,245,3,0,1,0,0,1,0,1
475,1.0,128.0,0.0,0,4,1,1,0,0,1,1,0
476,2.0,208.0,130.0,27,6,1,0,1,0,1,1,0
477,4.0,124.0,6.0,196,2,1,1,0,0,1,0,0
478,1.0,444.0,111.0,68,5,1,0,1,0,1,1,0
480,5.0,331.0,0.0,17,119,1,1,0,0,1,0,0
481,2.0,130.0,5.0,54,30,1,1,0,0,1,1,0
483,2.0,222.0,2.0,29,5,1,1,0,0,1,0,0
485,3.0,225.0,1.0,9,5,1,1,0,0,1,0,0
487,4.0,57.0,0.0,179,11,1,1,0,0,1,0,0
489,8.0,168.0,0.0,256,11,1,1,0,0,1,0,0
491,8.0,194.0,0.0,29,7,1,1,0,0,1,0,0
494,1.0,68.0,2.0,68,6,1,1,0,0,0,0,0
495,1.0,8.0,0.0,116,16,1,0,1,0,0,0,0
496,6.0,261.0,38.0,168,4,1,1,0,0,1,0,0
497,3.0,40.0,0.0,28,5,1,1,0,0,1,0,0
498,4.0,124.0,2.0,166,2,1,1,0,0,1,1,0
500,3.0,225.0,0.0,4,19,0,1,0,0,1,0,1
502,5.0,87.0,0.0,24,5,1,1,0,0,1,0,0
503,1.0,191.0,1.0,68,13,1,0,1,0,1,1,0
504,4.0,152.0,4.0,216,4,0,1,0,0,1,0,1
505,2.0,572.0,0.0,170,5,1,1,0,0,0,0,0
506,2.0,116.0,11.0,147,5,1,0,1,0,1,0,0
507,1.0,122.0,0.0,132,16,1,1,0,0,1,1,0
511,4.0,84.0,6.0,221,7,1,1,0,0,1,0,0
512,2.0,253.0,1.0,206,7,1,1,0,0,1,1,0
515,2.0,171.0,0.0,160,11,1,1,0,0,0,0,0
516,3.0,290.0,84.0,208,6,1,1,0,0,0,1,0
517,2.0,179.0,14.0,201,5,1,1,0,0,0,1,0
518,1.0,36.0,74.0,27,21,0,0,1,0,0,1,1
520,2.0,0.0,5.0,9,5,1,1,0,0,0,1,0
521,2.0,88.0,0.0,15,5,1,1,0,0,1,1,0
523,5.0,0.0,4.0,36,1,1,1,0,0,0,1,0
524,2.0,521.0,9.0,179,6,0,1,0,0,1,0,1
526,5.0,0.0,1.0,41,4,1,1,0,0,0,1,0
527,2.0,90.0,0.0,55,7,1,1,0,0,0,1,0
528,2.0,112.0,4.0,48,3,1,1,0,0,1,0,0
529,2.0,87.0,17.0,43,3,1,0,1,0,1,0,0
530,2.0,85.0,5.0,6,1,1,0,1,0,1,0,0
531,1.0,154.0,34.0,4,4,1,1,0,0,0,1,0
532,5.0,358.0,19.0,110,4,1,1,0,0,0,0,0
533,1.0,345.0,1.0,16,3,1,0,1,0,1,0,0
534,2.0,337.0,0.0,203,3,1,1,0,0,1,0,0
535,1.0,269.0,0.0,180,7,0,1,0,0,1,1,1
536,2.0,212.0,2.0,137,4,1,1,0,0,1,0,0
539,1.0,41.0,0.0,29,305,0,0,1,0,1,1,1
545,2.0,792.0,2.0,18,8,1,1,0,0,1,1,0
547,3.0,121.0,1.0,24,5,1,1,0,0,1,1,0
548,3.0,268.0,7.0,89,2,1,1,0,0,1,0,0
549,2.0,444.0,1.0,69,7,1,1,0,0,1,0,0
550,2.0,122.0,0.0,18,17,1,0,0,1,0,0,0
551,2.0,273.0,0.0,11,28,1,1,0,0,1,0,0
554,2.0,34.0,0.0,27,5,1,1,0,0,0,0,0
557,1.0,94.0,0.0,76,10,1,0,1,0,0,1,0
559,7.0,188.0,17.0,209,8,1,1,0,0,1,0,0
561,4.0,170.0,0.0,28,5,1,1,0,0,1,0,0
562,8.0,303.0,0.0,24,5,1,1,0,0,1,0,0
563,2.0,41.0,3.0,4,7,1,1,0,0,1,1,0
564,2.0,170.0,0.0,15,2,1,1,0,0,1,1,0
570,2.0,79.0,3.0,33,8,1,1,0,0,1,0,0
572,4.0,99.0,0.0,198,2,1,0,1,0,1,1,0
573,2.0,16.0,1.0,2,3,1,1,0,0,0,0,0
575,2.0,408.0,0.0,65,9,1,0,1,0,1,1,0
576,2.0,245.0,4.0,74,4,1,0,0,1,1,0,0
577,6.0,267.0,0.0,154,2,1,1,0,0,1,1,0
582,2.0,274.0,0.0,104,9,1,1,0,0,1,0,0
585,2.0,356.0,10.0,22,9,0,1,0,0,1,0,1
587,2.0,175.0,0.0,40,5,1,0,1,0,1,1,0
588,4.0,41.0,1.0,25,3,1,1,0,0,1,0,0
589,1.0,124.0,0.0,165,8,0,1,0,0,0,0,1
590,10.0,388.0,34.0,63,2,1,1,0,0,0,0,0
591,3.0,130.0,0.0,10,1,1,1,0,0,1,1,0
594,2.0,249.0,0.0,96,4,1,0,1,0,0,1,0
597,3.0,407.0,0.0,114,14,1,1,0,0,1,0,0
600,1.0,237.0,6.0,48,11,1,0,1,0,1,0,0
602,4.0,270.0,2.0,13,5,1,1,0,0,1,0,0
605,2.0,76.0,49.0,2,3,1,1,0,0,1,0,0
609,6.0,67.0,0.0,0,8,1,1,0,0,1,0,0
611,2.0,67.0,1.0,65,10,1,1,0,0,1,0,0
614,2.0,960.0,72.0,29,3,1,1,0,0,0,0,0
615,3.0,189.0,0.0,186,4,1,1,0,0,1,0,0
617,1.0,219.0,1.0,144,13,1,0,1,0,1,0,0
619,2.0,633.0,19.0,25,4,1,0,1,0,0,1,0
620,3.0,149.0,12.0,20,8,1,1,0,0,0,0,0
621,3.0,443.0,6.0,54,34,1,1,0,0,1,1,0
622,1.0,119.0,1.0,60,4,1,0,0,1,1,0,0
624,2.0,130.0,33.0,11,3,0,1,0,0,1,0,1
625,1.0,54.0,51.0,4,1,1,1,0,0,1,1,0
626,6.0,104.0,1.0,86,6,1,1,0,0,1,1,0
627,7.0,189.0,0.0,213,8,0,1,0,0,0,0,1
629,6.0,0.0,0.0,154,13,1,0,1,0,0,0,0
630,1.0,264.0,10.0,17,6,1,1,0,0,1,1,0
631,1.0,39.0,0.0,193,5,1,1,0,0,1,0,0
632,3.0,68.0,0.0,28,5,1,1,0,0,1,1,0
634,2.0,140.0,15.0,165,4,1,1,0,0,1,0,0
635,2.0,219.0,0.0,137,7,1,1,0,0,1,0,0
636,3.0,61.0,0.0,99,4,0,1,0,0,1,1,1
639,5.0,403.0,2.0,29,3,1,1,0,0,0,1,0
640,2.0,361.0,0.0,93,11,1,1,0,0,1,0,0
641,1.0,16.0,0.0,178,62,1,1,0,0,1,0,0
643,4.0,581.0,0.0,252,3,1,1,0,0,1,0,0
644,3.0,211.0,0.0,219,5,0,1,0,0,1,1,1
647,2.0,0.0,36.0,170,4,1,0,1,0,0,0,0
649,1.0,0.0,5.0,12,30,1,1,0,0,0,1,0
651,4.0,796.0,1.0,208,16,1,1,0,0,1,0,0
652,3.0,120.0,5.0,0,4,1,1,0,0,1,0,0
653,4.0,87.0,0.0,76,18,1,0,1,0,1,0,0
654,4.0,60.0,7.0,212,2,1,1,0,0,1,0,0
658,6.0,136.0,4.0,204,8,1,1,0,0,1,1,0
659,4.0,122.0,1.0,30,5,1,1,0,0,1,0,0
661,1.0,71.0,14.0,21,5,1,1,0,0,1,0,0
663,4.0,391.0,40.0,57,6,1,1,0,0,1,0,0
664,2.0,204.0,0.0,21,5,0,1,0,0,1,0,1
665,1.0,162.0,74.0,28,46,1,0,1,0,1,1,0
667,3.0,78.0,0.0,150,16,1,0,1,0,1,1,0
669,2.0,109.0,0.0,0,3,0,1,0,0,0,0,1
670,3.0,146.0,0.0,209,5,1,1,0,0,0,0,0
673,1.0,248.0,2.0,13,5,1,0,1,0,1,0,0
677,2.0,87.0,0.0,23,8,1,1,0,0,1,0,0
679,8.0,219.0,0.0,153,4,1,1,0,0,0,1,0
680,6.0,170.0,4.0,144,8,1,1,0,0,0,1,0
681,2.0,226.0,0.0,75,9,1,1,0,0,0,1,0
685,2.0,108.0,2.0,91,7,1,1,0,0,1,1,0
686,1.0,163.0,1.0,14,4,1,0,1,0,1,0,0
687,1.0,15.0,41.0,95,8,1,0,1,0,0,1,0
688,6.0,736.0,4.0,262,8,1,1,0,0,0,0,0
689,3.0,228.0,0.0,74,5,1,1,0,0,1,0,0
690,1.0,110.0,27.0,23,58,1,1,0,0,1,1,0
691,1.0,0.0,0.0,15,3,1,1,0,0,0,0,0
692,2.0,268.0,12.0,24,1,1,0,1,0,1,0,0
693,1.0,337.0,3.0,8,1,1,1,0,0,1,0,0
694,1.0,802.0,9.0,217,6,1,1,0,0,1,1,0
