,guest_size,total_interactions,message_length,channel,user_stage,total_reviews,lead_time,days_of_stay,reply_t,accept_t,replied,accepted,booked
262,4.0,4,78.0,contact_me,new,0.0,31,4,,0.0,1,1,0
263,2.0,9,290.0,contact_me,new,2.0,260,11,,0.0,1,1,0
265,4.0,39,271.0,contact_me,new,15.0,120,6,33.01666666666667,958.65,1,1,1
280,3.0,7,114.0,contact_me,past_booker,0.0,26,11,592.1,1420.666666666667,1,1,0
281,4.0,9,231.0,contact_me,new,0.0,66,8,313.06666666666666,8803.5,1,1,0
284,2.0,4,131.0,contact_me,past_booker,13.0,197,14,,0.0,1,1,0
294,2.0,3,250.0,contact_me,new,0.0,53,5,,0.0,1,1,0
295,1.0,4,44.0,contact_me,new,0.0,168,30,69.95,758.8333333333335,1,1,0
296,1.0,5,333.0,contact_me,new,8.0,69,4,6.35,68.9,1,1,0
311,4.0,18,142.0,contact_me,new,16.0,2,5,,0.0,1,1,0
321,1.0,3,236.0,contact_me,new,0.0,114,7,,0.0,1,1,0
324,3.0,6,352.0,contact_me,new,0.0,38,23,62.48333333333334,743.1,1,1,0
326,1.0,4,258.0,contact_me,new,20.0,5,7,113.56666666666666,0.15,1,1,0
329,4.0,5,249.0,contact_me,new,5.0,68,2,761.35,0.9833333333333336,1,1,0
332,2.0,8,418.0,contact_me,new,1.0,105,13,,0.0,1,1,0
336,1.0,8,82.0,contact_me,new,1.0,99,11,18.58333333333333,58.58333333333334,1,1,0
339,2.0,18,279.0,contact_me,new,7.0,73,10,,0.0,1,1,1
340,1.0,10,534.0,contact_me,past_booker,1.0,97,4,,0.0,1,1,0
341,6.0,50,277.0,contact_me,past_booker,0.0,66,8,518.1500000000002,281.96666666666664,1,1,1
361,2.0,56,178.0,contact_me,new,0.0,0,152,0.9833333333333336,1035.1333333333334,1,1,0
362,7.0,5,179.0,contact_me,new,9.0,156,3,,0.0,1,1,0
368,1.0,6,588.0,contact_me,past_booker,87.0,0,3,30.600000000000005,0.5333333333333333,1,1,0
371,3.0,4,116.0,contact_me,new,17.0,67,2,,0.0,1,1,0
372,2.0,3,139.0,contact_me,new,27.0,29,5,586.5,0.13333333333333333,1,1,0
374,4.0,25,321.0,contact_me,new,1.0,109,10,32.46666666666667,65.30000000000001,1,1,1
375,2.0,3,112.0,contact_me,new,9.0,22,2,582.2833333333333,105.86666666666666,1,1,0
376,1.0,3,28.0,contact_me,past_booker,0.0,176,21,15632.883333333335,2.333333333333333,1,1,0
377,1.0,7,193.0,contact_me,new,15.0,9,29,14.95,183.41666666666663,1,1,0
382,2.0,17,112.0,contact_me,new,22.0,4,4,10.133333333333333,0.21666666666666667,1,1,0
387,2.0,5,226.0,contact_me,past_booker,0.0,6,3,,0.0,1,1,0
395,3.0,3,61.0,contact_me,new,39.0,34,4,6.75,4.733333333333333,1,1,0
396,2.0,10,190.0,contact_me,past_booker,43.0,12,4,64.51666666666668,1022.4166666666667,1,1,1
401,2.0,5,302.0,contact_me,new,3.0,10,4,,0.0,1,1,0
403,4.0,23,54.0,contact_me,new,6.0,2,4,0.18333333333333326,436.78333333333336,1,1,0
407,4.0,3,138.0,contact_me,new,0.0,16,5,15.666666666666668,2014.333333333333,1,1,0
418,5.0,5,133.0,contact_me,past_booker,39.0,91,4,,0.0,1,1,0
433,8.0,6,164.0,contact_me,past_booker,0.0,189,16,7.800000000000002,0.4666666666666667,1,1,0
435,3.0,4,104.0,contact_me,new,34.0,40,9,,0.0,1,1,0
437,2.0,3,72.0,contact_me,past_booker,113.0,3,3,174.01666666666668,0.016666666666666666,1,1,0
440,2.0,7,72.0,contact_me,new,1.0,16,14,,0.0,1,1,0
443,6.0,7,67.0,contact_me,new,0.0,152,4,,0.0,1,1,0
447,1.0,7,83.0,contact_me,past_booker,0.0,69,10,353.1,977.3666666666667,1,1,0
460,2.0,7,397.0,contact_me,new,0.0,125,22,,0.0,1,1,0
463,1.0,41,211.0,contact_me,past_booker,26.0,33,3,385.63333333333327,0.13333333333333333,1,1,1
465,1.0,4,285.0,contact_me,past_booker,1.0,0,7,,0.0,1,1,0
470,2.0,5,510.0,contact_me,new,182.0,50,3,,0.0,1,1,0
471,6.0,36,101.0,contact_me,new,0.0,105,4,18.766666666666666,7.0166666666666675,1,1,0
485,3.0,14,225.0,contact_me,new,1.0,9,5,26.91666666666667,34.3,1,1,0
486,6.0,6,627.0,contact_me,new,1.0,201,24,,0.0,1,1,0
496,6.0,10,261.0,contact_me,new,38.0,168,4,83.8,1.3666666666666667,1,1,0
506,2.0,11,116.0,contact_me,new,11.0,147,5,2.6166666666666667,4.3,1,1,0
529,2.0,3,87.0,contact_me,new,17.0,43,3,77.21666666666667,0.2333333333333333,1,1,0
530,2.0,11,85.0,contact_me,new,5.0,6,1,12.616666666666667,0.6333333333333333,1,1,0
533,1.0,3,345.0,contact_me,new,1.0,16,3,472.86666666666673,0.3666666666666665,1,1,0
538,2.0,3,145.0,contact_me,new,1.0,82,3,,0.0,1,1,0
541,2.0,3,111.0,contact_me,past_booker,1.0,139,6,,0.0,1,1,0
545,2.0,7,792.0,contact_me,past_booker,2.0,18,8,142.11666666666667,0.38333333333333336,1,1,0
549,2.0,3,444.0,contact_me,new,1.0,69,7,455.13333333333327,4.833333333333333,1,1,0
563,2.0,5,41.0,contact_me,past_booker,3.0,4,7,18.066666666666666,0.03333333333333333,1,1,0
565,2.0,3,249.0,contact_me,new,0.0,1,31,,0.0,1,1,0
568,1.0,5,195.0,contact_me,past_booker,0.0,190,10,,0.0,1,1,0
574,1.0,118,241.0,contact_me,new,12.0,4,1,,0.0,1,1,1
576,2.0,9,245.0,contact_me,new,4.0,74,4,1117.2166666666667,154.88333333333333,1,1,0
584,2.0,3,299.0,contact_me,new,20.0,9,8,,0.0,1,1,0
596,2.0,5,144.0,contact_me,new,0.0,157,1,,0.0,1,1,0
599,4.0,86,202.0,contact_me,new,1.0,33,4,,0.0,1,1,1
600,1.0,7,237.0,contact_me,new,6.0,48,11,37.266666666666666,0.31666666666666665,1,1,0
601,6.0,3,390.0,contact_me,new,13.0,29,4,,0.0,1,1,0
602,4.0,9,270.0,contact_me,new,2.0,13,5,66.03333333333335,36.85,1,1,0
605,2.0,3,76.0,contact_me,new,49.0,2,3,7.55,5.266666666666667,1,1,0
608,1.0,4,170.0,contact_me,past_booker,1.0,141,2,,0.0,1,1,0
610,2.0,7,394.0,contact_me,past_booker,3.0,6,6,,0.0,1,1,1
611,2.0,6,67.0,contact_me,new,1.0,65,10,115.65,0.06666666666666668,1,1,0
612,6.0,2,71.0,contact_me,new,0.0,208,7,,0.0,1,1,0
616,8.0,4,113.0,contact_me,new,18.0,218,8,,0.0,1,1,0
621,3.0,4,443.0,contact_me,past_booker,6.0,54,34,62.53333333333334,0.08333333333333333,1,1,0
625,1.0,20,54.0,contact_me,past_booker,51.0,4,1,12.966666666666667,0.2,1,1,1
630,1.0,3,264.0,contact_me,past_booker,10.0,17,6,220.46666666666667,0.06666666666666668,1,1,0
631,1.0,6,39.0,contact_me,new,0.0,193,5,96.53333333333332,7.383333333333334,1,1,0
632,3.0,3,68.0,contact_me,past_booker,0.0,28,5,2653.483333333333,0.15,1,1,0
634,2.0,5,140.0,contact_me,new,15.0,165,4,10.233333333333333,999.3833333333334,1,1,0
637,5.0,5,81.0,contact_me,new,0.0,65,5,,0.0,1,1,0
638,7.0,21,179.0,contact_me,new,0.0,74,9,,0.0,1,1,1
652,3.0,46,120.0,contact_me,new,5.0,0,4,180.4333333333333,46.93333333333333,1,1,0
656,2.0,22,440.0,contact_me,new,2.0,82,5,,0.0,1,1,0
658,6.0,3,136.0,contact_me,past_booker,4.0,204,8,3.0166666666666666,0.3666666666666665,1,1,0
660,1.0,9,244.0,contact_me,new,96.0,20,6,,0.0,1,1,0
663,4.0,3,391.0,contact_me,new,40.0,57,6,86.38333333333334,0.4833333333333334,1,1,0
672,2.0,3,66.0,contact_me,past_booker,0.0,85,4,,0.0,1,1,0
673,1.0,5,248.0,contact_me,new,2.0,13,5,34.4,1184.5166666666667,1,1,0
675,2.0,3,519.0,contact_me,new,64.0,41,28,,0.0,1,1,0
685,2.0,8,108.0,contact_me,past_booker,2.0,91,7,107.86666666666666,403.61666666666673,1,1,1
689,3.0,35,228.0,contact_me,new,0.0,74,5,4.2,13.883333333333333,1,1,0
699,2.0,4,146.0,contact_me,new,2.0,32,9,753.0666666666667,7290.55,1,1,0
700,1.0,7,375.0,contact_me,new,0.0,142,24,,0.0,1,1,0
701,1.0,4,77.0,contact_me,new,2.0,110,8,978.1,0.35,1,1,0
702,5.0,11,47.0,contact_me,new,0.0,137,6,299.0833333333333,31546.46666666667,1,1,0
711,1.0,13,190.0,contact_me,new,20.0,65,3,9.366666666666667,316.55,1,1,0
712,2.0,15,310.0,contact_me,new,58.0,53,4,2.6666666666666665,0.5333333333333333,1,1,1
713,1.0,3,608.0,contact_me,new,56.0,5,6,591.2666666666668,0.08333333333333333,1,1,0
716,1.0,3,132.0,contact_me,past_booker,4.0,187,7,15.716666666666667,445.7166666666666,1,1,0
718,3.0,15,64.0,contact_me,new,2.0,17,3,4.816666666666666,1434.0,1,1,0
724,2.0,3,618.0,contact_me,new,0.0,215,8,,0.0,1,1,0
738,1.0,3,330.0,contact_me,past_booker,0.0,41,4,,0.0,1,1,0
746,2.0,3,47.0,contact_me,past_booker,17.0,20,4,4.55,0.4833333333333334,1,1,0
760,2.0,3,475.0,contact_me,new,26.0,246,8,202.2,0.06666666666666668,1,1,0
761,3.0,5,49.0,contact_me,new,1.0,240,6,39.05,2.4,1,1,0
770,4.0,4,239.0,contact_me,new,1.0,23,7,2.183333333333333,0.8833333333333333,1,1,0
782,5.0,3,316.0,contact_me,new,0.0,61,11,737.2,0.3333333333333333,1,1,0
797,4.0,5,76.0,contact_me,past_booker,37.0,21,4,219.8,2.466666666666667,1,1,0
799,2.0,15,205.0,contact_me,new,6.0,33,6,6134.466666666666,2047.466666666667,1,1,0
801,6.0,5,61.0,contact_me,new,0.0,92,3,126.48333333333336,0.03333333333333333,1,1,0
811,4.0,9,196.0,contact_me,new,27.0,42,6,,0.0,1,1,1
812,3.0,4,202.0,contact_me,new,2.0,214,15,2277.766666666667,1297.3333333333333,1,1,0
813,4.0,4,234.0,contact_me,new,36.0,25,5,,0.0,1,1,0
821,5.0,3,243.0,contact_me,new,0.0,18,4,,0.0,1,1,0
825,1.0,3,97.0,contact_me,past_booker,0.0,0,14,931.0,2.6166666666666667,1,1,0
831,4.0,10,209.0,contact_me,past_booker,27.0,44,2,11.7,0.9333333333333332,1,1,0
836,6.0,13,336.0,contact_me,new,1.0,104,24,,0.0,1,1,0
847,1.0,3,106.0,contact_me,new,12.0,17,2,8.200000000000001,29.15,1,1,0
849,1.0,6,102.0,contact_me,new,6.0,3,30,,0.0,1,1,0
851,3.0,18,186.0,contact_me,new,6.0,24,4,14.15,1.6166666666666667,1,1,1
859,2.0,2,80.0,contact_me,new,0.0,200,12,,0.0,1,1,0
860,6.0,7,119.0,contact_me,new,0.0,20,5,115.18333333333334,86.06666666666666,1,1,0
863,2.0,11,300.0,contact_me,new,97.0,60,3,8.283333333333335,1.0333333333333334,1,1,1
867,6.0,5,220.0,contact_me,new,0.0,56,22,577.45,3998.833333333334,1,1,0
878,4.0,30,333.0,contact_me,new,16.0,27,5,847.3333333333335,0.16666666666666666,1,1,1
879,2.0,5,18.0,contact_me,past_booker,0.0,25,5,109.7,561.6,1,1,0
882,1.0,5,270.0,contact_me,past_booker,1.0,20,8,,0.0,1,1,0
886,3.0,40,50.0,contact_me,new,0.0,93,2,406.36666666666673,0.43333333333333335,1,1,0
891,2.0,5,51.0,contact_me,past_booker,16.0,50,15,241.65,0.11666666666666667,1,1,0
892,4.0,29,506.0,contact_me,new,0.0,25,32,51.18333333333333,86.18333333333334,1,1,1
893,3.0,3,529.0,contact_me,new,4.0,91,4,121.95000000000002,0.06666666666666668,1,1,0
902,3.0,5,514.0,contact_me,new,1.0,204,6,,0.0,1,1,0
907,4.0,6,261.0,contact_me,new,6.0,26,8,69.56666666666666,43.05,1,1,0
909,2.0,5,533.0,contact_me,past_booker,24.0,21,3,8.350000000000001,0.4166666666666667,1,1,0
913,3.0,2,139.0,contact_me,new,10.0,20,5,,0.0,1,1,0
926,4.0,18,65.0,contact_me,new,0.0,136,6,114.76666666666668,1016.7166666666667,1,1,0
930,5.0,3,71.0,contact_me,new,1.0,209,7,398.86666666666673,3012.566666666666,1,1,0
936,6.0,7,257.0,contact_me,new,1.0,44,2,41.7,846.9166666666665,1,1,0
940,3.0,6,277.0,contact_me,new,0.0,163,10,1488.25,806.3,1,1,0
952,1.0,5,361.0,contact_me,new,0.0,7,2,676.5333333333333,1837.7333333333331,1,1,0
968,3.0,17,122.0,contact_me,new,0.0,68,11,19.983333333333334,1.1833333333333331,1,1,0
973,4.0,13,271.0,contact_me,new,58.0,57,4,7.383333333333334,2.1,1,1,0
976,10.0,6,71.0,contact_me,new,0.0,118,3,144.58333333333334,9881.45,1,1,0
992,3.0,25,593.0,contact_me,new,9.0,0,11,12.133333333333333,64.50000000000001,1,1,1
993,8.0,5,388.0,contact_me,new,0.0,60,30,713.15,102.1,1,1,0
996,4.0,4,108.0,contact_me,new,0.0,208,7,,0.0,1,1,0
999,4.0,8,120.0,contact_me,new,4.0,16,3,6.216666666666668,0.03333333333333333,1,1,0
1001,1.0,12,193.0,contact_me,new,0.0,19,1,6.583333333333332,1118.1333333333334,1,1,0
1019,8.0,4,286.0,contact_me,new,1.0,38,16,1463.216666666667,399.48333333333335,1,1,0
1031,1.0,22,157.0,contact_me,past_booker,3.0,152,10,,0.0,1,1,1
1037,2.0,56,248.0,contact_me,past_booker,61.0,121,4,98.0,0.06666666666666668,1,1,1
1050,2.0,3,479.0,contact_me,past_booker,45.0,84,8,560.7333333333332,0.16666666666666666,1,1,0
1057,2.0,5,135.0,contact_me,new,4.0,24,11,,0.0,1,1,0
1059,2.0,4,353.0,contact_me,past_booker,11.0,131,9,106.03333333333332,3854.1,1,1,0
1065,3.0,20,408.0,contact_me,past_booker,1.0,28,9,,0.0,1,1,1
1073,2.0,7,254.0,contact_me,past_booker,0.0,205,7,,0.0,1,1,0
1076,2.0,3,330.0,contact_me,new,9.0,44,25,431.08333333333326,0.2333333333333333,1,1,0
1077,4.0,4,145.0,contact_me,new,4.0,131,8,89.98333333333332,0.016666666666666666,1,1,0
1079,3.0,4,677.0,contact_me,past_booker,0.0,133,12,246.96666666666667,150.16666666666666,1,1,0
1082,6.0,3,132.0,contact_me,new,1.0,64,11,,0.0,1,1,0
1085,2.0,6,238.0,contact_me,new,0.0,55,12,,0.0,1,1,0
1088,4.0,13,152.0,contact_me,new,11.0,75,10,14.116666666666667,14.15,1,1,0
1104,2.0,3,255.0,contact_me,new,3.0,40,4,1264.3666666666666,0.06666666666666668,1,1,0
1107,1.0,5,29.0,contact_me,new,9.0,18,1,,0.0,1,1,0
1122,1.0,3,136.0,contact_me,new,1.0,151,5,,0.0,1,1,0
1124,5.0,13,293.0,contact_me,new,2.0,70,25,4.816666666666666,1.1,1,1,0
1127,2.0,3,250.0,contact_me,new,84.0,44,4,7.05,0.11666666666666667,1,1,0
1141,4.0,4,64.0,contact_me,past_booker,3.0,13,6,,0.0,1,1,0
1143,1.0,3,391.0,contact_me,past_booker,0.0,23,31,20.516666666666666,1.35,1,1,0
1147,1.0,6,204.0,contact_me,new,1.0,37,18,8.6,2867.266666666667,1,1,0
1158,4.0,4,440.0,contact_me,new,4.0,165,12,,0.0,1,1,0
1159,6.0,4,360.0,contact_me,new,30.0,32,9,1240.8166666666666,0.03333333333333333,1,1,0
1165,4.0,73,75.0,contact_me,new,0.0,12,7,2041.9333333333327,2354.0333333333333,1,1,1
1168,2.0,62,220.0,contact_me,new,21.0,19,1,,0.0,1,1,1
1170,1.0,22,508.0,contact_me,new,11.0,1,2,,0.0,1,1,1
1172,6.0,18,270.0,contact_me,new,3.0,3,4,,0.0,1,1,1
1173,3.0,3,51.0,contact_me,new,21.0,21,4,,0.0,1,1,0
1183,2.0,5,162.0,contact_me,new,36.0,37,3,,0.0,1,1,0
1184,4.0,4,350.0,contact_me,new,69.0,34,1,,0.0,1,1,0
1188,4.0,4,279.0,contact_me,new,0.0,72,9,135.28333333333336,0.7,1,1,0
1189,4.0,3,308.0,contact_me,past_booker,2.0,163,4,2189.866666666667,0.03333333333333333,1,1,0
1190,4.0,7,170.0,contact_me,new,7.0,208,3,2.283333333333333,50.41666666666666,1,1,0
1195,6.0,10,411.0,contact_me,new,1.0,72,23,32.53333333333334,0.06666666666666668,1,1,0
1197,1.0,4,125.0,contact_me,past_booker,109.0,25,3,1.5,16.133333333333336,1,1,0
1199,3.0,16,176.0,contact_me,past_booker,13.0,3,4,5.283333333333333,1504.6,1,1,0
1206,7.0,3,101.0,contact_me,new,0.0,60,2,12.183333333333335,0.16666666666666666,1,1,0
1210,1.0,28,97.0,contact_me,past_booker,0.0,44,20,624.8833333333333,0.06666666666666668,1,1,1
1214,10.0,3,141.0,contact_me,new,6.0,8,2,313.6,0.2,1,1,0
1216,1.0,4,242.0,contact_me,new,0.0,79,19,332.55,1978.666666666667,1,1,0
1221,1.0,16,197.0,contact_me,past_booker,0.0,4,5,,0.0,1,1,0
1229,2.0,13,538.0,contact_me,new,0.0,16,10,,0.0,1,1,1
1230,5.0,4,127.0,contact_me,new,9.0,209,2,0.0,2787.383333333333,1,1,0
1231,2.0,3,283.0,contact_me,past_booker,14.0,70,4,478.35,0.9,1,1,0
1232,4.0,8,168.0,contact_me,past_booker,0.0,65,10,14.4,6922.65,1,1,0
1248,1.0,25,363.0,contact_me,new,34.0,43,4,616.0666666666667,1.2666666666666666,1,1,1
1254,2.0,5,87.0,contact_me,past_booker,4.0,0,14,,0.0,1,1,0
1267,3.0,14,222.0,contact_me,new,15.0,12,7,10.1,1.1666666666666667,1,1,0
1268,4.0,3,113.0,contact_me,new,17.0,203,5,,0.0,1,1,0
1270,1.0,3,109.0,contact_me,new,0.0,51,21,1191.9666666666667,0.03333333333333333,1,1,0
1271,5.0,3,235.0,contact_me,new,16.0,28,7,698.2,0.2833333333333333,1,1,0
1275,5.0,15,779.0,contact_me,new,26.0,285,11,270.1666666666667,0.13333333333333333,1,1,0
1288,1.0,10,328.0,contact_me,new,10.0,72,10,,0.0,1,1,0
1291,3.0,21,246.0,contact_me,past_booker,0.0,63,4,7.750000000000001,23.91666666666667,1,1,0
1292,3.0,4,429.0,contact_me,past_booker,0.0,1,3,,0.0,1,1,0
1295,6.0,10,464.0,contact_me,new,2.0,146,2,425.23333333333335,807.4,1,1,1
1296,4.0,3,72.0,contact_me,new,12.0,37,4,,0.0,1,1,0
1301,2.0,3,456.0,contact_me,new,1.0,36,3,,0.0,1,1,0
1305,5.0,15,154.0,contact_me,new,139.0,223,8,0.0,1.6166666666666667,1,1,0
1307,2.0,3,133.0,contact_me,new,47.0,3,22,5.75,0.08333333333333333,1,1,0
1313,1.0,5,490.0,contact_me,new,0.0,112,3,,0.0,1,1,0
1320,4.0,9,91.0,contact_me,new,93.0,3,2,32.833333333333336,0.3333333333333333,1,1,0
1322,2.0,2,394.0,contact_me,new,31.0,131,5,,0.0,1,1,0
1327,1.0,5,137.0,contact_me,new,7.0,7,4,30.066666666666666,39.55,1,1,0
1351,5.0,16,79.0,contact_me,new,3.0,23,18,0.18333333333333326,180.36666666666667,1,1,1
1358,1.0,6,251.0,contact_me,new,14.0,3,4,16.650000000000002,178.28333333333333,1,1,0
1367,1.0,5,415.0,contact_me,new,2.0,3,1,2890.266666666667,0.016666666666666666,1,1,0
1368,1.0,3,173.0,contact_me,new,21.0,6,4,219.4333333333333,0.13333333333333333,1,1,0
1376,2.0,2,70.0,contact_me,new,0.0,13,4,,0.0,1,1,0
1386,9.0,22,196.0,contact_me,past_booker,12.0,43,2,3.183333333333333,0.1,1,1,1
1396,2.0,9,65.0,contact_me,past_booker,0.0,74,3,4.266666666666667,0.7833333333333333,1,1,0
1400,2.0,27,274.0,contact_me,new,5.0,0,7,793.7666666666668,7.950000000000001,1,1,1
1403,4.0,3,96.0,contact_me,past_booker,15.0,19,4,49.96666666666667,0.18333333333333326,1,1,0
1405,1.0,54,780.0,contact_me,new,27.0,152,7,,0.0,1,1,1
1409,1.0,3,251.0,contact_me,past_booker,0.0,106,2,1515.55,4.783333333333333,1,1,0
1424,4.0,8,284.0,contact_me,new,1.0,23,5,,0.0,1,1,0
1431,1.0,9,171.0,contact_me,new,1.0,0,3,5.0,45.08333333333334,1,1,0
1435,4.0,3,113.0,contact_me,new,1.0,201,6,927.8333333333336,688.5666666666667,1,1,0
1441,2.0,3,139.0,contact_me,new,46.0,6,2,25.91666666666667,0.03333333333333333,1,1,0
1448,2.0,5,459.0,contact_me,past_booker,37.0,95,5,29.816666666666666,0.13333333333333333,1,1,0
1460,4.0,6,344.0,contact_me,past_booker,0.0,26,5,1903.95,4806.8,1,1,0
1468,3.0,26,90.0,contact_me,new,5.0,127,7,2.45,50.48333333333333,1,1,0
1470,1.0,10,140.0,contact_me,new,0.0,49,274,864.4,1600.9833333333331,1,1,0
1474,4.0,5,175.0,contact_me,new,0.0,115,5,,0.0,1,1,0
1478,2.0,4,212.0,contact_me,new,13.0,37,10,,0.0,1,1,0
1480,2.0,11,144.0,contact_me,past_booker,22.0,0,5,42.53333333333333,437.75,1,1,0
1481,3.0,15,130.0,contact_me,past_booker,4.0,6,14,57.98333333333333,204.1833333333333,1,1,1
1492,1.0,5,347.0,contact_me,new,0.0,2,4,1530.05,1650.95,1,1,0
1493,4.0,11,165.0,contact_me,new,5.0,10,5,,0.0,1,1,1
1504,2.0,3,218.0,contact_me,new,33.0,2,2,,0.0,1,1,0
1511,4.0,11,145.0,contact_me,new,0.0,121,11,4188.133333333334,980.5,1,1,0
1512,4.0,7,120.0,contact_me,new,0.0,135,1,799.2166666666667,611.6833333333333,1,1,0
1517,2.0,16,103.0,contact_me,new,10.0,4,7,10.516666666666667,4.866666666666666,1,1,1
1518,3.0,3,176.0,contact_me,past_booker,5.0,217,3,7.35,0.1,1,1,0
1537,2.0,12,573.0,contact_me,new,2.0,187,1,,0.0,1,1,0
1542,1.0,4,410.0,contact_me,new,0.0,192,5,21664.066666666666,1562.1833333333334,1,1,0
1543,3.0,6,270.0,contact_me,past_booker,2.0,195,3,35.7,1.6166666666666667,1,1,0
1544,2.0,3,176.0,contact_me,new,12.0,37,3,2.8,800.8333333333335,1,1,0
1548,6.0,7,210.0,contact_me,past_booker,24.0,92,6,,0.0,1,1,0
1556,3.0,6,28.0,contact_me,past_booker,0.0,51,3,,0.0,1,1,1
1557,6.0,3,353.0,contact_me,past_booker,0.0,51,7,1380.9,35568.25,1,1,0
1558,2.0,6,42.0,contact_me,new,36.0,140,5,,0.0,1,1,0
1564,5.0,4,262.0,contact_me,new,34.0,36,2,,0.0,1,1,0
1585,1.0,10,396.0,contact_me,past_booker,24.0,12,24,3222.083333333333,0.2333333333333333,1,1,0
1595,1.0,6,324.0,contact_me,past_booker,1.0,1,2,440.61666666666673,2.0500000000000003,1,1,0
1598,1.0,8,246.0,contact_me,past_booker,5.0,63,29,,0.0,1,1,0
1602,1.0,6,128.0,contact_me,new,0.0,39,7,,0.0,1,1,0
1608,3.0,9,356.0,contact_me,new,0.0,24,5,35.36666666666667,789.7,1,1,0
1620,1.0,16,339.0,contact_me,new,0.0,57,9,,0.0,1,1,0
1622,6.0,8,338.0,contact_me,new,0.0,89,2,,0.0,1,1,0
1628,2.0,3,30.0,contact_me,new,2.0,9,5,71.43333333333334,0.11666666666666667,1,1,0
1637,1.0,26,391.0,contact_me,new,0.0,3,28,,0.0,1,1,0
