,guest_size,message_length,total_reviews,lead_time,days_of_stay,replied,not_replied,contact_me,past_booker
144,4.0,75.0,8.0,30,4,1,0,1,0
145,1.0,0.0,6.0,8,2,1,0,0,1
146,5.0,192.0,0.0,161,6,1,0,1,0
147,5.0,157.0,0.0,55,6,1,0,1,0
148,1.0,405.0,10.0,181,7,1,0,0,1
149,4.0,186.0,0.0,109,4,1,0,1,0
150,1.0,44.0,1.0,0,4,1,0,1,0
151,6.0,146.0,0.0,30,5,1,0,1,0
153,6.0,134.0,1.0,39,15,1,0,1,0
154,1.0,158.0,2.0,6,92,1,0,1,1
156,2.0,750.0,10.0,15,5,1,0,0,0
157,4.0,61.0,0.0,22,4,1,0,1,0
158,10.0,80.0,5.0,41,4,1,0,0,0
159,4.0,999.0,1.0,100,21,1,0,1,1
160,2.0,254.0,20.0,20,7,1,0,0,1
161,5.0,138.0,0.0,48,4,1,0,1,0
163,3.0,94.0,0.0,17,2,1,0,1,0
164,2.0,702.0,3.0,28,6,1,0,1,1
165,3.0,0.0,2.0,31,3,1,0,0,1
166,2.0,90.0,5.0,93,8,1,0,1,0
168,4.0,163.0,1.0,24,4,1,0,1,0
171,2.0,73.0,1.0,20,5,1,0,0,0
172,1.0,42.0,0.0,29,6,1,0,1,0
173,4.0,194.0,0.0,153,1,1,0,1,0
175,2.0,118.0,0.0,209,10,0,1,1,0
178,5.0,262.0,1.0,29,8,0,1,0,0
179,2.0,154.0,12.0,221,2,1,0,1,0
181,1.0,47.0,0.0,67,10,1,0,1,1
182,2.0,153.0,0.0,166,9,1,0,0,1
183,3.0,256.0,0.0,155,31,1,0,0,0
184,2.0,135.0,45.0,62,3,1,0,0,0
185,4.0,315.0,0.0,1,2,1,0,0,0
186,2.0,181.0,9.0,107,6,1,0,1,0
187,1.0,65.0,0.0,201,4,1,0,1,0
188,1.0,536.0,1.0,1,3,1,0,0,0
189,2.0,245.0,0.0,66,10,1,0,0,1
190,2.0,547.0,0.0,89,11,1,0,1,0
191,2.0,376.0,42.0,29,3,1,0,1,1
192,4.0,364.0,2.0,70,105,1,0,1,0
195,4.0,271.0,15.0,120,6,1,0,1,0
196,3.0,168.0,0.0,30,5,1,0,1,0
197,4.0,11.0,0.0,162,5,1,0,0,0
198,3.0,83.0,0.0,122,4,1,0,1,1
199,2.0,704.0,10.0,12,11,1,0,0,1
200,1.0,150.0,0.0,16,3,1,0,0,0
201,1.0,361.0,0.0,6,3,1,0,1,0
202,5.0,564.0,20.0,247,6,1,0,1,0
203,6.0,142.0,0.0,34,4,1,0,1,0
204,5.0,0.0,1.0,102,12,1,0,0,1
205,1.0,260.0,0.0,18,28,1,0,0,1
206,3.0,114.0,0.0,26,11,1,0,1,1
207,4.0,231.0,0.0,66,8,1,0,1,0
208,2.0,195.0,1.0,39,30,1,0,1,0
211,2.0,202.0,0.0,11,5,1,0,1,1
212,6.0,175.0,2.0,90,2,0,1,0,0
213,2.0,46.0,0.0,85,2,0,1,0,1
214,4.0,18.0,0.0,200,22,1,0,1,1
215,2.0,165.0,7.0,94,3,1,0,0,0
216,2.0,250.0,4.0,103,7,0,1,0,0
217,3.0,0.0,3.0,97,11,1,0,0,0
218,4.0,0.0,5.0,137,4,1,0,0,1
220,1.0,44.0,0.0,168,30,1,0,1,0
221,1.0,333.0,8.0,69,4,1,0,1,0
222,6.0,146.0,0.0,149,6,1,0,1,1
223,5.0,128.0,0.0,12,6,0,1,0,1
224,2.0,219.0,0.0,57,13,1,0,1,0
225,2.0,102.0,1.0,31,3,1,0,0,0
226,2.0,285.0,32.0,9,3,1,0,1,0
227,5.0,247.0,3.0,80,15,1,0,1,0
228,4.0,24.0,0.0,72,7,1,0,0,1
230,2.0,0.0,0.0,182,4,1,0,0,1
233,2.0,657.0,2.0,27,4,0,1,0,1
234,2.0,255.0,0.0,0,3,1,0,1,0
235,4.0,63.0,0.0,126,19,1,0,0,0
236,4.0,453.0,1.0,183,6,1,0,1,1
237,2.0,265.0,0.0,86,6,0,1,1,1
238,3.0,138.0,1.0,55,1,1,0,0,1
239,1.0,198.0,0.0,0,1,0,1,0,1
241,10.0,96.0,7.0,125,2,1,0,1,0
242,4.0,40.0,0.0,16,2,1,0,0,1
243,3.0,352.0,0.0,38,23,1,0,1,0
245,1.0,258.0,20.0,5,7,1,0,1,0
246,4.0,257.0,1.0,34,3,0,1,1,0
247,4.0,167.0,0.0,57,1,1,0,1,0
248,4.0,249.0,5.0,68,2,1,0,1,0
249,4.0,87.0,0.0,29,9,1,0,0,0
250,5.0,141.0,0.0,68,7,1,0,1,0
252,5.0,205.0,1.0,24,6,1,0,0,0
253,3.0,229.0,1.0,59,3,1,0,1,0
254,5.0,405.0,1.0,18,1,1,0,0,0
255,1.0,82.0,1.0,99,11,1,0,1,0
258,6.0,277.0,0.0,66,8,1,0,1,1
259,3.0,103.0,0.0,152,5,1,0,0,1
260,1.0,49.0,0.0,120,3,1,0,0,0
261,4.0,225.0,0.0,26,3,1,0,1,1
262,3.0,166.0,67.0,118,5,1,0,0,1
263,2.0,213.0,3.0,176,5,1,0,1,1
264,2.0,221.0,13.0,5,1,0,1,0,1
265,4.0,0.0,26.0,139,2,1,0,0,0
266,2.0,211.0,0.0,209,7,1,0,0,1
267,2.0,229.0,56.0,56,3,1,0,0,1
268,2.0,206.0,2.0,26,3,1,0,0,0
269,2.0,0.0,4.0,24,30,1,0,0,0
270,3.0,351.0,0.0,199,6,1,0,0,1
271,4.0,119.0,1.0,186,15,1,0,1,0
272,4.0,298.0,1.0,97,21,0,1,1,0
273,2.0,178.0,0.0,0,152,1,0,1,0
275,2.0,405.0,0.0,31,3,1,0,0,1
277,6.0,429.0,2.0,208,12,0,1,1,0
278,1.0,588.0,87.0,0,3,1,0,1,1
279,1.0,108.0,4.0,3,1,1,0,0,1
280,1.0,86.0,2.0,85,10,1,0,1,1
282,2.0,139.0,27.0,29,5,1,0,1,0
283,4.0,321.0,1.0,109,10,1,0,1,0
284,2.0,112.0,9.0,22,2,1,0,1,0
285,1.0,28.0,0.0,176,21,1,0,1,1
286,1.0,193.0,15.0,9,29,1,0,1,0
287,2.0,128.0,0.0,11,6,0,1,1,0
288,2.0,199.0,3.0,179,4,0,1,1,0
289,6.0,325.0,0.0,9,2,1,0,1,0
290,3.0,669.0,3.0,193,19,1,0,1,0
291,2.0,112.0,22.0,4,4,1,0,1,0
292,2.0,0.0,11.0,7,2,1,0,0,1
293,2.0,484.0,35.0,171,5,1,0,1,0
294,4.0,159.0,5.0,200,7,1,0,1,0
296,1.0,165.0,4.0,22,2,1,0,0,1
297,1.0,96.0,0.0,78,11,1,0,0,0
298,1.0,221.0,1.0,10,13,1,0,1,0
299,6.0,163.0,0.0,104,9,1,0,1,1
300,1.0,172.0,0.0,179,29,1,0,1,0
301,3.0,61.0,39.0,34,4,1,0,1,0
302,2.0,190.0,43.0,12,4,1,0,1,1
303,2.0,88.0,1.0,17,2,1,0,0,1
304,3.0,220.0,5.0,388,7,1,0,1,0
305,4.0,287.0,0.0,92,5,1,0,1,1
306,2.0,1032.0,0.0,134,8,1,0,1,0
308,1.0,324.0,5.0,143,8,0,1,1,1
309,4.0,54.0,6.0,2,4,1,0,1,0
310,2.0,223.0,1.0,75,2,1,0,0,1
311,4.0,138.0,0.0,16,5,1,0,1,0
312,4.0,0.0,0.0,62,3,1,0,0,1
314,6.0,74.0,3.0,10,4,0,1,1,0
315,1.0,345.0,4.0,6,2,1,0,1,0
316,1.0,193.0,1.0,0,7,0,1,1,1
317,4.0,334.0,0.0,5,6,1,0,0,0
318,1.0,37.0,30.0,14,4,1,0,0,0
319,2.0,60.0,0.0,96,21,1,0,1,1
320,5.0,0.0,0.0,126,3,0,1,0,1
323,2.0,41.0,3.0,39,4,1,0,0,0
324,2.0,209.0,3.0,9,5,1,0,1,1
325,8.0,166.0,1.0,269,5,1,0,1,0
326,4.0,284.0,1.0,184,10,1,0,1,0
327,2.0,14.0,6.0,34,13,1,0,0,0
328,6.0,142.0,1.0,181,2,1,0,1,0
329,2.0,258.0,1.0,68,5,0,1,1,1
330,2.0,27.0,19.0,0,5,1,0,0,1
331,1.0,37.0,1.0,81,7,1,0,1,1
332,3.0,286.0,0.0,43,3,1,0,0,0
333,8.0,164.0,0.0,189,16,1,0,1,1
335,3.0,47.0,1.0,2,4,1,0,1,0
336,2.0,72.0,113.0,3,3,1,0,1,1
337,3.0,324.0,0.0,96,15,1,0,1,1
338,4.0,0.0,13.0,9,5,1,0,0,0
340,3.0,128.0,16.0,78,22,1,0,1,0
342,2.0,180.0,44.0,45,4,1,0,0,0
343,1.0,38.0,96.0,5,4,1,0,0,1
344,10.0,101.0,0.0,219,9,0,1,1,0
345,1.0,83.0,0.0,69,10,1,0,1,1
346,2.0,224.0,10.0,5,4,1,0,0,1
348,2.0,199.0,0.0,82,6,1,0,1,0
349,1.0,170.0,5.0,125,21,0,1,1,0
350,1.0,128.0,0.0,20,5,1,0,1,0
351,2.0,303.0,7.0,5,5,1,0,0,0
352,1.0,541.0,5.0,85,15,1,0,1,1
354,2.0,502.0,0.0,7,2,1,0,1,1
355,2.0,384.0,12.0,1,1,0,1,0,1
356,1.0,211.0,26.0,33,3,1,0,1,1
357,4.0,6.0,1.0,136,16,1,0,0,1
359,4.0,337.0,1.0,216,5,1,0,1,0
360,3.0,358.0,5.0,59,3,1,0,0,1
361,1.0,335.0,4.0,125,5,1,0,0,1
363,6.0,101.0,0.0,105,4,1,0,1,0
364,5.0,530.0,0.0,245,3,0,1,1,0
365,1.0,128.0,0.0,0,4,1,0,1,1
366,2.0,208.0,130.0,27,6,1,0,1,1
367,4.0,124.0,6.0,196,2,1,0,1,0
368,1.0,444.0,111.0,68,5,1,0,1,1
370,5.0,331.0,0.0,17,119,1,0,1,0
371,2.0,130.0,5.0,54,30,1,0,1,1
373,2.0,222.0,2.0,29,5,1,0,1,0
375,3.0,225.0,1.0,9,5,1,0,1,0
377,4.0,57.0,0.0,179,11,1,0,1,0
378,8.0,168.0,0.0,256,11,1,0,1,0
380,8.0,194.0,0.0,29,7,1,0,1,0
382,1.0,68.0,2.0,68,6,1,0,0,0
383,1.0,8.0,0.0,116,16,1,0,0,0
384,6.0,261.0,38.0,168,4,1,0,1,0
385,3.0,40.0,0.0,28,5,1,0,1,0
386,4.0,124.0,2.0,166,2,1,0,1,1
388,3.0,225.0,0.0,4,19,0,1,1,0
390,5.0,87.0,0.0,24,5,1,0,1,0
391,1.0,191.0,1.0,68,13,1,0,1,1
392,4.0,152.0,4.0,216,4,0,1,1,0
393,2.0,572.0,0.0,170,5,1,0,0,0
394,2.0,116.0,11.0,147,5,1,0,1,0
395,1.0,122.0,0.0,132,16,1,0,1,1
397,4.0,84.0,6.0,221,7,1,0,1,0
398,2.0,253.0,1.0,206,7,1,0,1,1
399,2.0,171.0,0.0,160,11,1,0,0,0
400,3.0,290.0,84.0,208,6,1,0,0,1
401,2.0,179.0,14.0,201,5,1,0,0,1
402,1.0,36.0,74.0,27,21,0,1,0,1
403,2.0,0.0,5.0,9,5,1,0,0,1
404,2.0,88.0,0.0,15,5,1,0,1,1
405,5.0,0.0,4.0,36,1,1,0,0,1
406,2.0,521.0,9.0,179,6,0,1,1,0
407,5.0,0.0,1.0,41,4,1,0,0,1
408,2.0,90.0,0.0,55,7,1,0,0,1
409,2.0,112.0,4.0,48,3,1,0,1,0
410,2.0,87.0,17.0,43,3,1,0,1,0
411,2.0,85.0,5.0,6,1,1,0,1,0
412,1.0,154.0,34.0,4,4,1,0,0,1
413,5.0,358.0,19.0,110,4,1,0,0,0
414,1.0,345.0,1.0,16,3,1,0,1,0
415,2.0,337.0,0.0,203,3,1,0,1,0
416,1.0,269.0,0.0,180,7,0,1,1,1
417,2.0,212.0,2.0,137,4,1,0,1,0
419,1.0,41.0,0.0,29,305,0,1,1,1
422,2.0,792.0,2.0,18,8,1,0,1,1
423,3.0,121.0,1.0,24,5,1,0,1,1
424,3.0,268.0,7.0,89,2,1,0,1,0
425,2.0,444.0,1.0,69,7,1,0,1,0
426,2.0,122.0,0.0,18,17,1,0,0,0
427,2.0,273.0,0.0,11,28,1,0,1,0
429,2.0,34.0,0.0,27,5,1,0,0,0
430,1.0,94.0,0.0,76,10,1,0,0,1
432,7.0,188.0,17.0,209,8,1,0,1,0
433,4.0,170.0,0.0,28,5,1,0,1,0
434,8.0,303.0,0.0,24,5,1,0,1,0
435,2.0,41.0,3.0,4,7,1,0,1,1
436,2.0,170.0,0.0,15,2,1,0,1,1
439,2.0,79.0,3.0,33,8,1,0,1,0
441,4.0,99.0,0.0,198,2,1,0,1,1
442,2.0,16.0,1.0,2,3,1,0,0,0
444,2.0,408.0,0.0,65,9,1,0,1,1
445,2.0,245.0,4.0,74,4,1,0,1,0
446,6.0,267.0,0.0,154,2,1,0,1,1
448,2.0,274.0,0.0,104,9,1,0,1,0
451,2.0,356.0,10.0,22,9,0,1,1,0
452,2.0,175.0,0.0,40,5,1,0,1,1
453,4.0,41.0,1.0,25,3,1,0,1,0
454,1.0,124.0,0.0,165,8,0,1,0,0
455,10.0,388.0,34.0,63,2,1,0,0,0
456,3.0,130.0,0.0,10,1,1,0,1,1
458,2.0,249.0,0.0,96,4,1,0,0,1
460,3.0,407.0,0.0,114,14,1,0,1,0
462,1.0,237.0,6.0,48,11,1,0,1,0
464,4.0,270.0,2.0,13,5,1,0,1,0
465,2.0,76.0,49.0,2,3,1,0,1,0
467,6.0,67.0,0.0,0,8,1,0,1,0
469,2.0,67.0,1.0,65,10,1,0,1,0
471,2.0,960.0,72.0,29,3,1,0,0,0
472,3.0,189.0,0.0,186,4,1,0,1,0
474,1.0,219.0,1.0,144,13,1,0,1,0
475,2.0,633.0,19.0,25,4,1,0,0,1
476,3.0,149.0,12.0,20,8,1,0,0,0
477,3.0,443.0,6.0,54,34,1,0,1,1
478,1.0,119.0,1.0,60,4,1,0,1,0
480,2.0,130.0,33.0,11,3,0,1,1,0
481,1.0,54.0,51.0,4,1,1,0,1,1
482,6.0,104.0,1.0,86,6,1,0,1,1
483,7.0,189.0,0.0,213,8,0,1,0,0
484,6.0,0.0,0.0,154,13,1,0,0,0
485,1.0,264.0,10.0,17,6,1,0,1,1
486,1.0,39.0,0.0,193,5,1,0,1,0
487,3.0,68.0,0.0,28,5,1,0,1,1
488,2.0,140.0,15.0,165,4,1,0,1,0
489,2.0,219.0,0.0,137,7,1,0,1,0
490,3.0,61.0,0.0,99,4,0,1,1,1
493,5.0,403.0,2.0,29,3,1,0,0,1
494,2.0,361.0,0.0,93,11,1,0,1,0
495,1.0,16.0,0.0,178,62,1,0,1,0
496,4.0,581.0,0.0,252,3,1,0,1,0
497,3.0,211.0,0.0,219,5,0,1,1,1
498,2.0,0.0,36.0,170,4,1,0,0,0
499,1.0,0.0,5.0,12,30,1,0,0,1
500,4.0,796.0,1.0,208,16,1,0,1,0
501,3.0,120.0,5.0,0,4,1,0,1,0
502,4.0,87.0,0.0,76,18,1,0,1,0
503,4.0,60.0,7.0,212,2,1,0,1,0
506,6.0,136.0,4.0,204,8,1,0,1,1
507,4.0,122.0,1.0,30,5,1,0,1,0
509,1.0,71.0,14.0,21,5,1,0,1,0
511,4.0,391.0,40.0,57,6,1,0,1,0
512,2.0,204.0,0.0,21,5,0,1,1,0
513,1.0,162.0,74.0,28,46,1,0,1,1
514,3.0,78.0,0.0,150,16,1,0,1,1
515,2.0,109.0,0.0,0,3,0,1,0,0
516,3.0,146.0,0.0,209,5,1,0,0,0
518,1.0,248.0,2.0,13,5,1,0,1,0
522,2.0,87.0,0.0,23,8,1,0,1,0
523,8.0,219.0,0.0,153,4,1,0,0,1
524,6.0,170.0,4.0,144,8,1,0,0,1
525,2.0,226.0,0.0,75,9,1,0,0,1
526,2.0,108.0,2.0,91,7,1,0,1,1
527,1.0,163.0,1.0,14,4,1,0,1,0
528,1.0,15.0,41.0,95,8,1,0,0,1
529,6.0,736.0,4.0,262,8,1,0,0,0
530,3.0,228.0,0.0,74,5,1,0,1,0
531,1.0,110.0,27.0,23,58,1,0,1,1
532,1.0,0.0,0.0,15,3,1,0,0,0
533,2.0,268.0,12.0,24,1,1,0,1,0
534,1.0,337.0,3.0,8,1,1,0,1,0
535,1.0,802.0,9.0,217,6,1,0,1,1
536,2.0,121.0,0.0,33,7,1,0,0,0
537,2.0,212.0,0.0,88,1,1,0,0,0
539,2.0,146.0,2.0,32,9,1,0,1,0
541,1.0,77.0,2.0,110,8,1,0,1,0
542,5.0,47.0,0.0,137,6,1,0,1,0
543,2.0,273.0,13.0,166,2,1,0,1,0
544,1.0,0.0,21.0,1,30,1,0,0,0
545,2.0,44.0,6.0,10,8,1,0,0,1
546,3.0,125.0,0.0,61,5,1,0,0,0
547,1.0,216.0,42.0,0,3,1,0,0,0
548,1.0,190.0,20.0,65,3,1,0,1,0
549,2.0,310.0,58.0,53,4,1,0,1,0
550,1.0,608.0,56.0,5,6,1,0,1,0
553,1.0,132.0,4.0,187,7,1,0,1,1
554,1.0,109.0,0.0,217,2,1,0,1,0
555,3.0,64.0,2.0,17,3,1,0,1,0
556,3.0,0.0,3.0,87,20,1,0,0,0
558,1.0,106.0,46.0,4,2,1,0,1,1
560,4.0,312.0,5.0,31,7,1,0,0,0
561,3.0,168.0,2.0,87,2,1,0,0,0
562,4.0,61.0,2.0,7,4,1,0,1,1
563,1.0,202.0,0.0,1,12,1,0,0,1
564,1.0,114.0,22.0,71,3,1,0,1,0
565,4.0,0.0,13.0,21,5,1,0,0,1
567,4.0,103.0,0.0,0,1,1,0,0,1
569,3.0,163.0,69.0,28,2,1,0,0,0
571,8.0,256.0,0.0,302,8,0,1,1,0
572,4.0,362.0,5.0,53,28,1,0,1,1
574,2.0,8.0,11.0,0,3,1,0,0,1
575,2.0,213.0,0.0,19,8,1,0,1,0
576,4.0,279.0,0.0,99,11,1,0,1,0
577,2.0,47.0,17.0,20,4,1,0,1,1
578,2.0,259.0,0.0,169,6,1,0,0,1
579,2.0,72.0,1.0,203,5,1,0,1,1
581,1.0,185.0,1.0,1,2,1,0,1,1
582,1.0,815.0,0.0,101,18,1,0,1,0
583,2.0,47.0,0.0,5,2,1,0,0,1
584,4.0,63.0,13.0,2,3,1,0,1,0
585,4.0,676.0,0.0,58,9,1,0,0,0
586,3.0,254.0,0.0,12,7,0,1,1,0
587,2.0,475.0,26.0,246,8,1,0,1,0
588,3.0,49.0,1.0,240,6,1,0,1,0
589,6.0,265.0,0.0,9,2,0,1,1,0
590,2.0,367.0,108.0,6,2,1,0,0,1
591,5.0,43.0,0.0,55,4,0,1,0,1
592,2.0,90.0,0.0,74,10,1,0,0,0
594,4.0,239.0,1.0,23,7,1,0,1,0
595,4.0,113.0,1.0,27,5,1,0,0,0
596,4.0,337.0,0.0,7,5,1,0,0,1
597,5.0,26.0,0.0,76,14,1,0,0,1
598,2.0,201.0,0.0,40,6,1,0,1,1
599,5.0,198.0,3.0,119,8,1,0,0,0
600,2.0,512.0,11.0,17,3,1,0,1,0
601,6.0,332.0,1.0,92,6,1,0,1,0
602,2.0,327.0,0.0,56,7,0,1,1,1
603,2.0,0.0,0.0,16,5,0,1,0,0
604,3.0,512.0,1.0,189,9,1,0,0,0
605,5.0,316.0,0.0,61,11,1,0,1,0
606,2.0,84.0,0.0,82,3,1,0,0,1
607,2.0,79.0,3.0,37,4,1,0,1,0
609,6.0,563.0,6.0,0,1,1,0,1,1
610,1.0,161.0,0.0,0,3,1,0,0,1
611,1.0,288.0,0.0,193,7,1,0,1,0
612,3.0,174.0,0.0,83,30,1,0,0,1
613,2.0,61.0,1.0,12,161,1,0,0,0
614,1.0,117.0,4.0,29,3,1,0,1,0
615,4.0,76.0,37.0,21,4,1,0,1,1
616,2.0,205.0,6.0,33,6,1,0,1,0
618,6.0,61.0,0.0,92,3,1,0,1,0
619,2.0,109.0,0.0,76,2,1,0,0,0
620,3.0,0.0,0.0,59,3,1,0,0,1
621,2.0,301.0,8.0,31,3,1,0,1,1
622,1.0,342.0,0.0,191,1,1,0,1,0
625,3.0,202.0,2.0,214,15,1,0,1,0
627,2.0,142.0,0.0,45,12,0,1,1,0
628,2.0,163.0,1.0,54,3,1,0,1,0
629,2.0,278.0,3.0,214,10,1,0,0,0
630,5.0,93.0,0.0,30,5,1,0,1,1
631,2.0,442.0,2.0,132,6,1,0,1,0
633,1.0,97.0,0.0,0,14,1,0,1,1
634,5.0,383.0,1.0,174,4,1,0,0,1
635,2.0,395.0,10.0,207,3,0,1,0,0
636,2.0,0.0,0.0,76,3,0,1,0,1
637,4.0,41.0,0.0,101,15,0,1,1,0
638,4.0,209.0,27.0,44,2,1,0,1,1
639,2.0,34.0,0.0,215,10,0,1,0,1
642,2.0,438.0,0.0,182,62,1,0,1,0
643,1.0,65.0,5.0,4,1,1,0,0,1
644,15.0,256.0,0.0,240,5,1,0,1,0
645,1.0,357.0,0.0,5,1,1,0,1,0
646,6.0,189.0,0.0,31,32,1,0,1,0
647,1.0,56.0,0.0,2,4,1,0,1,1
648,2.0,0.0,41.0,8,3,0,1,0,0
649,3.0,326.0,24.0,51,7,1,0,1,0
651,1.0,106.0,12.0,17,2,1,0,1,0
652,3.0,66.0,0.0,90,11,1,0,0,0
654,3.0,186.0,6.0,24,4,1,0,1,0
655,2.0,44.0,12.0,42,2,1,0,0,0
656,1.0,377.0,2.0,11,4,0,1,1,1
657,2.0,50.0,0.0,47,30,1,0,1,1
658,2.0,154.0,10.0,20,9,1,0,0,0
659,4.0,104.0,4.0,21,3,1,0,1,0
